essay_id,prompt,entropy,prob_dist_1,prob_dist_2,prob_dist_3,argmax_match
15655,"The builders of the Empire State building face many obstacles in attempting to allow dirigibles to dock there. One obstacle was overcoming the extra stress that a dock dirigible would add. In the excerpt The Mooring Mast author Marcia Amidon Lüsted states ""the stress of the dirigibles load and the wind pressure would have to be transmitted all the way to the buildings foundation..."" Another obstacle the builders faced was the violent weather at the top of the building. Lüsted says ""Even if the dirigibles was tethered to the mooring mast, the back of the ship would swivel around and break the mooring mast."" This was a problem because it would make it unsafe for passengers to exit the dirigibles and walk down a gangplank connected to the Empire State building. The wind also made it difficult for a dirigible to navigate to the mooring mast without being blown into other buildings in the area. One of the greatest obstacles was making the mooring mast safe. Lünden states ""most dirigibles from outside the U.S use hydrogn rather than helium, and hydrogen is highly flammable."" If a dirigibles were to catch fire over a heavily populated area like New York the casualties would be numerous. These were some of the many obstacles builders faced when attempting to construct a mooring mast on the Empire State Building.","[1.054, 1.4905, 1.8219]","{'A': 0.0, 'B': 0.15, 'C': 0.75, 'D': 0.1, 'F': 0.0}","{'A': 0.1, 'B': 0.6, 'C': 0.25, 'D': 0.05, 'F': 0.0}","{'A': 0.05, 'B': 0.4, 'C': 0.4, 'D': 0.1, 'F': 0.05}",False
10270,"The author ends the story with When they come back, Saeng vowed silently, in the spring, when the snow melt and the geese return and this hibiscus is budding, then I will take that test again to show a comparison. Since the plant reminds her of home, when it buds she will be more confident to take the test. When she was looking at the petals of the flower it said, Gently she closed her palm around it and held it tight. That, at least she could hold on to. This shows that she really missed her home, and she had nothing to give her confidence. The flower is the piece of confidence she needs to feel at home and even pass her drivers test. Saeng felt out of place in her new environment. The flower hibiscus, gave her motivation. It gave her a chance to connect with a part from her old home, in her new home. Saeng thinks, And that rich sweet scent- that was familiar too. This shows that this flower was a sentimental importance, she needed. Therefore, the author ended with that paragraph to show a comparison and the importance of the flower to her adapting.  ","[1.7219, 1.7219, 1.8219]","{'A': 0.1, 'B': 0.4, 'C': 0.4, 'D': 0.1, 'F': 0.0}","{'A': 0.1, 'B': 0.4, 'C': 0.4, 'D': 0.1, 'F': 0.0}","{'A': 0.05, 'B': 0.4, 'C': 0.4, 'D': 0.1, 'F': 0.05}",True
21286,"Laughter is a important part of life. It is important in my life because it makes me happy. I am going to tell a true story about why laughter is so important to me and to my life. On days that I would be sad because of some stressful and unhappy things that were happening in my life at the moment. My friend @CAPS1 would come to my house to cheer me up. He would cheer me up by making me laugh, a lot. The main ways that he could make me laugh, when he would notice that I am sad were, tickling me randomly a lot, saying a funny joke or asking me a silly question and by making me play a video game or two, that I was very embarrassingly bad at. The first way he can get me to laugh is by tickling me. When he would come over we would just sit around and talk about random stuff that popped into our heads. He would notice me getting sad at some point and he would say that if I didn't cheer up he would tickle me so that I laughed to get cheered up. I wouldn't really cheer up so that he could make me laugh, to cheer me up. So, he would start to tickle me a lot. I am ticklish basically everywhere, so I would laugh hysterically and it was so much fun. After he would finally stop tickling me, I would still be laughing. If I were to get sad again, he would just keep on tickling me until he was sure that I was happy. I would get happy that day because of laughter.Another day that he was over just hanging out with me. I might not have been having that great of day. We would be watching a movie and eating pop corn or watching t.v., and he would notice that I wasn't really that happy. So, he would try and make me laugh to cheer me up. He would get me to laugh by saying some funny silly joke or asking me a weird random question. Little funny things like that will always make me laugh. Through out the day or while watching the movie. He would say something like it is so nice outside. When it really wasn't, he was just making me laugh. Or, something in the movie would happen and he would say how that would never be possible in real life. He would just get me to laugh to cheer me up. In addition to tickling me and saying something funny to make me laugh, he would also make me play a video game to get my mind off things. At his house one time he said that we should play some fun video games for something to do, because it would be rainy outside. At first he would show me how good he is at one of his favorite video games, likeAssassins @CAPS2. Then he would say that I should try to play it. I was not very good at it but it was fun. I am not used to the controls of an @CAPS3 @CAPS4 so I wouldn't know how to do some things, and he would make fun of me for it because it was actually supposed to be easy. When I couldn't do something I would laugh about it and give the controller to him because I couldn't do it and he could. That would make me laugh because I couldn't do something simple like run up a wall in the game, so, I would have to give it to him to do and that was funny to us. Being bad a video games is funny to me and it make me laugh. In turn that would make me happy which is important.In conclusion, by my friend @CAPS1 tickling me a lot, saying something weird and random, that is silly and funny or, by getting me to play video games that I was bad at and had to have him do it for me, would make me laugh. By him making me laugh, a lot, it made me very happy. Laughing is very important part of my life and this story. It is important because if I didn't laugh as much as he makes me, I would not be as happy. If I am not happy, that isn't a good thing. Because, being happy is a very important part of any life and relationship. Most of the ways I can get happy are by laughing. So, this story shows that laughing is very important part of my life. You could also say that is important in my relationship with @CAPS1. He make me laugh which makes me happy. That is very important to me.","[1.861, 1.9464, 1.9464]","{'A': 0.05, 'B': 0.2, 'C': 0.5, 'D': 0.2, 'F': 0.05}","{'A': 0.05, 'B': 0.2, 'C': 0.4, 'D': 0.3, 'F': 0.05}","{'A': 0.05, 'B': 0.2, 'C': 0.4, 'D': 0.3, 'F': 0.05}",True
1268,"People use computers everyday. There's so many reasons way the're always on. They could be talking to one of their family relatives. Also they're probally looking for jobs. There's many things and people shouldn't tell them what to do with their lives. Many people in @LOCATION1 use the computer to talk to one of their old friends and catch up on things. Also they could be talking to one of their family relatives. There's a thing called webcam and people in @LOCATION1 use it so they could see one another. Buisnesses people are always on the computer because they need to print out documents and they probally got to send something to another country. Buisnesses people also do lots of work on the computer. They can still exercise in @TIME1 for a quick jog, but also thats their choice if they want to stay health or not, plus they're busy people. Other hand people who go on the computer and who are not buisness people or they're not talking to family member or an old friend are students and parents. Tons of students in @LOCATION1 have projects everyday and they got to be on the computer to look up their information. Parents on the other hand also help out their children and they also talk to their relatives or these looking for a new home or job. If all those people are busy let them do their work they want for need to do. Once their done they could excerise but if they don't want to and other people told them to go not take a walk or anything healthy then it's their lost. We can't some them too. They're just getting better everyday and it's not effecting us. its effecting them. If they want to be on the computer they're also getting bad eye-sight because of too much light.","[1.6805, 2.0087, 1.6805]","{'A': 0.0, 'B': 0.05, 'C': 0.25, 'D': 0.5, 'F': 0.2}","{'A': 0.05, 'B': 0.15, 'C': 0.4, 'D': 0.3, 'F': 0.1}","{'A': 0.0, 'B': 0.05, 'C': 0.25, 'D': 0.5, 'F': 0.2}",False
7606,"In Rough Road Ahead by Joe Kurmaskie, the features of the setting affect the cyclist negatively. The story takes place in June in California. This is a very hot time of the year in such a desert location. The heat adds to the speed at which the cyclist becomes dehydrated, as well as his inability to think as coheratly as he could had he not been in a desert in June. The cyclist is also travelling through desolate, an inhabited land. The author says, There was no one in sight, not a building car, or structure of any kind. This emphasizes the characters total lack of resources. There is nowhere within sight that he can turn to for help, water, food or shelter. The road was also rough, plagued with many rolling, crippling hills. Such terrain is much harder to manuver, especially in such a are state of despair. The setting of the story, ""Rough Road Ahead"" greatly impacts the cyclist.","[1.4905, 0.8813, 1.761]","{'A': 0.1, 'B': 0.6, 'C': 0.25, 'D': 0.05, 'F': 0.0}","{'A': 0.0, 'B': 0.7, 'C': 0.3, 'D': 0.0, 'F': 0.0}","{'A': 0.2, 'B': 0.5, 'C': 0.2, 'D': 0.1, 'F': 0.0}",True
109,"Dear editor, @CAPS1 name is @PERSON1, and I believe that computers are a benefit to the world, and people as well. I say this because lots of people can talk to family of friends long distance. Also the computer can teach you lots of thing. Finally it makes you more social. In @CAPS1 strong opinion computers are better for the world. Firstly, many people can talk long distance with family of friends. You have web cam and that allows you to chat and see the person. Also @CAPS2 is another site where you can talk to friends and then you can have a lot and put pictures of yourself and even videos, even though you can talk on the phone and do all this but on the phone it costs money for a plan. When you use a computer it is completely free. Secondly, the computer teaches you things that help you later on in life, and it let's you know things as well. The computer people made programs that can computers and more really cool. The programs teach you how to type, it is called type to learn or type for fun. Also they have programs that let you know how to read. It is great for kids because they need to know these things any ways. Finally, the computer makes you more social. This is because you have @CAPS2 and it let's you know things that happen in school or out of school. You can talk to people on @CAPS2 or email each other and have a conversation with them. You can also meet new people from other places and have a good relationship with them. You have friends with and know who they are and won't need to figure it out. So, this is why I believe that having a computer is a good idea, and good to have. You can talk to people long distance. The computer teaches you things for life. Finally it makes you more social with people. So in @CAPS1 strong opinion it is a good idea to have a computer.","[1.5955, 1.8219, 1.461]","{'A': 0.05, 'B': 0.45, 'C': 0.4, 'D': 0.1, 'F': 0.0}","{'A': 0.05, 'B': 0.4, 'C': 0.4, 'D': 0.1, 'F': 0.05}","{'A': 0.05, 'B': 0.5, 'C': 0.4, 'D': 0.05, 'F': 0.0}",True
7218,"The features of the setting made the cyclists journey even longer and more strenuous. The reason it being in such a remote area did not help. For example the people who still lived in that remote area were probably as old as the cyclist grandparents and the directions were horrible. Also, the fact that their were no new shops or areas or rest for the cyclist to go to; the water pump he found was old and nasty and the only building he saw was abandoned. Also ther factor was the rough terrain. It  being froit the cyclist was already very fatigued by lack of water and tiredness the terrain was long, bumpy and just horrible all together. Finally, the last factor was where he was bicycling in California on a @CAPS1 summer day and he being on a which had no n.c(but which bike does) did not help at all. These are how the features affect the cyclist journey.","[1.6477, 1.7394, 1.6477]","{'A': 0.0, 'B': 0.05, 'C': 0.3, 'D': 0.5, 'F': 0.15}","{'A': 0.0, 'B': 0.05, 'C': 0.35, 'D': 0.4, 'F': 0.2}","{'A': 0.0, 'B': 0.05, 'C': 0.3, 'D': 0.5, 'F': 0.15}",True
3871,"Are there universally evil books that no one should read? Are good and bad no longer matters of opinion for the readers themselves? The answer is no. Censorship is a terrible practice masquerading as a boon. The right to read certain books should not be left to a conservative few, because everyone has their own opinion about everything. There is always something we can potentially learn from books, and it's never right to take that away. Freedom of speech should certainly come into play here as well, allowing the authors' words to be heard without interference from those who would dictate what we read.     There is a reason libraries have many sections. They have to cater to the individual tastes of the masses, without regard to what other people find offensive. If one was to go through the library and burn every book they did not like, there would be scarcely anything left. Send in another person with different tastes, and then you have a completely empty library. It is far better to leave all the books alone so that everyone can find something to enjoy reading. Basically, there are bound to be people who have similar opinions to the author of just about anything, so allow the authors to share those opinions.     Then we have the knowledge portion of the issue. Offensive material to one person might be what another person wants or needs to read, whether for recreation or class. There is much to be learned in the way of psychology and human nature from almost any writing. Perhaps a restricted section would be in order if the problem would involve corruption of innocent minds, but a full censor would never be necessary.     Finally, there is an amendment in the @CAPS1 of @CAPS2 for preventing censorship. It is unconstitutional to restrict any form of expressive speech, whether it be books, movies, music, or magazines. And what is more restrictive to an author than to have their books banned? The greatest difference between our country and a totalitarian government is the simple freedom allowed in the @LOCATION1. If we start restricting that freedom, what are we then?     In short, censorship is a harmful practice that should never be used. People all have their own opinions, all media can be learned from, and our freedom should not be restricted. The practice of censorship is what should truly be banned from the shelves.","[1.361, 1.361, 1.2955]","{'A': 0.5, 'B': 0.4, 'C': 0.1, 'D': 0.0, 'F': 0.0}","{'A': 0.5, 'B': 0.4, 'C': 0.1, 'D': 0.0, 'F': 0.0}","{'A': 0.6, 'B': 0.3, 'C': 0.1, 'D': 0.0, 'F': 0.0}",True
3873,"Censorship in @ORGANIZATION1 has been around for as long as their has been the various mediums of art. In many cases the censorship @CAPS9 of what many would agree as not suitable material for anyone to create and enjoy. But then in other more serious issues that the censor has deemed not suitable for a certain audience, or even to a whole country. What @CAPS9 it that gives a select few the right to ban any given number of imaginative creations, even if they are in some aspects more lued in nature?     Censorship has and @CAPS9 still a very usefull tool that many governments employ to accomplish a wide variety of tasks, considered to ensure the 'safety' of both our minds and bodies. Some of the more widely know cases of this most despicable tactic of control come from the countries of @CAPS1 @CAPS2 @LOCATION3, @LOCATION4R, @CAPS3 @LOCATION5, and @LOCATION2. In these countries all materials that are deemed potentially hazardous to the wellfare of the @ORGANIZATION2 are heavily policed and in many cases destroyed. The most noteworthy instances of this occured in @LOCATION3, where the @CAPS4 would gather up large amounts of books from the people and burn them in massive rallies. The people were so enthralled by the @CAPS5 leadership that they would often times freely relenquish their books with no resistance, and in some cases join in and throw the books in themselves. The same thing @CAPS9 still occuring in @LOCATION5 today, wtih a censor still on their internet surfing possibilities. In @DATE1 the popular search engine @ORGANIZATION3 attempted to set up shop in the country, but quickly entered into dispute with the @ORGANIZATION2 about the censoring of certain materials. Some months after the argument began over the censoring of @LOCATION5's people, the company completely removed all bans for a short time, much to the dismay of the @ORGANIZATION2. During that time it @CAPS9 reported that some of the main search topics were that of many social reformers and of different religions than that of the @ORGANIZATION2's sanctioned religion. But the one country that takes the cake for having the most censorship @CAPS9 @LOCATION2, they're @ORGANIZATION2 has restricted and policed any technology in the country. The common people live in a so called '@CAPS6 @CAPS7 @CAPS8'.     In our home country of the @LOCATION1 we are promised many rights to protect our freedom as citizens. We are promised the freedom of speech as well as press, and in censoring our libraries they would restrict both. If we do not stand up and protect our rights, then who will? Are we not a @ORGANIZATION2 for the people, by the people? Why are we allowing the censorship of our own intellectual creations in a place that was created to provide access to said materials for those who are less fortunate, so they themselves can gain knowledge and understanding. If we as a people were to allow such a blatent restriction on our given freedoms, then we are in no position to have them in the first place. Our country was founded and later almost torn apart by the men and women who were willing to risk it all in order to protect their freedoms in this country. Are we descendants of those same people? If so why should we allow ourselves to squander what was hard fought for and earned by our forefathers.     The censor often poses a few questions that do cause one to wonder '@CAPS9 it really better off this way?'. They point out that for every great work of intellegent art, other of a more deviant nature create some more innapropriate pieces of 'art'. Pornography @CAPS9 the most prevalent of their examples, pointing out that if they did not restrict it, then who would stop the hundreds of children that not only roam the libraries bookshelves but also the provided internet services. It @CAPS9 a reasonable question, once that should be take into consideration, but in answer to it I believe that it @CAPS9 and will always be the job of the parent or guardian that bring the child with them. It @CAPS9 simply not enough to drop a child off at the local library and hope they find something interesting. Helping that child find what they want @CAPS9 a journey that should be taken by both the parent and the child. And what about those who believe the censor isn't always right about what @CAPS9 and what @CAPS9 not acceptable for the general @ORGANIZATION1? As author Katherine Paterson once said 'All of us can think of a book that we hope none or any other children have taken off the shelf. But if I have the right to remove that book from the shelf-- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any of us.'     Censorship has been around for a very long time, and will most likely never be fully cut out of any functioning @ORGANIZATION2. That @CAPS9 sadly an inevibility that cannot be avoided. But the amount that it occurs in your daily life will be directly affected by how much of your freedom you are willing to stand up for.","[2.0087, 1.6805, 2.0087]","{'A': 0.05, 'B': 0.15, 'C': 0.4, 'D': 0.3, 'F': 0.1}","{'A': 0.0, 'B': 0.05, 'C': 0.25, 'D': 0.5, 'F': 0.2}","{'A': 0.05, 'B': 0.15, 'C': 0.4, 'D': 0.3, 'F': 0.1}",False
10323,"The author of this story was smart to end it by saying she will take the test again in the spring, when every thing bloms. This girl just  failed her driving test she dose not want to take it right away. The blomming of the hibiscus symbolizes her old life at her old home and it is also symbolizing a new start when it bloms. This will give her the confodence to pass her driving test and make he excited to get a new start on the year. ""Spring is when the snows melt and geese return. This quote from this paragraph states that the snow will melt away and the geese will come back home, just like she wants to go home and fells contible, at home you are contible. The author ended this story of this girl, Saeng, with hope and drive to do what she wants to do. That is why it was smart to end the story like they  ended it.  ","[0.8842, 0.8842, 2.0087]","{'A': 0.0, 'B': 0.0, 'C': 0.05, 'D': 0.8, 'F': 0.15}","{'A': 0.0, 'B': 0.0, 'C': 0.05, 'D': 0.8, 'F': 0.15}","{'A': 0.05, 'B': 0.15, 'C': 0.4, 'D': 0.3, 'F': 0.1}",False
