essay_id,stakes_num,grade_inflation
3549,0,-1.0
3549,1,-1.0
3549,2,-2.0
140,0,0.0
140,1,0.0
140,2,0.0
3291,0,0.0
3291,1,0.0
3291,2,0.0
4228,0,0.0
4228,1,-1.0
4228,2,0.0
1327,0,0.0
1327,1,0.0
1327,2,0.0
4045,0,0.0
4045,1,0.0
4045,2,0.0
3160,0,0.0
3160,1,0.0
3160,2,0.0
4766,0,0.0
4766,1,0.0
4766,2,0.0
3783,0,0.0
3783,1,-1.0
3783,2,0.0
1551,0,-1.0
1551,1,-1.0
1551,2,-1.0
4372,0,-1.0
4372,1,-1.0
4372,2,-1.0
3499,0,0.0
3499,1,0.0
3499,2,0.0
557,0,0.0
557,1,0.0
557,2,-1.0
514,0,0.0
514,1,0.0
514,2,0.0
1657,0,0.0
1657,1,0.0
1657,2,0.0
414,0,0.0
414,1,0.0
414,2,0.0
1702,0,-1.0
1702,1,-1.0
1702,2,-1.0
813,0,0.0
813,1,0.0
813,2,0.0
1542,0,0.0
1542,1,0.0
1542,2,0.0
3416,0,0.0
3416,1,0.0
3416,2,0.0
3015,0,0.0
3015,1,0.0
3015,2,0.0
1236,0,0.0
1236,1,-1.0
1236,2,-1.0
4727,0,0.0
4727,1,0.0
4727,2,0.0
1071,0,0.0
1071,1,0.0
1071,2,0.0
4363,0,0.0
4363,1,0.0
4363,2,-1.0
4334,0,0.0
4334,1,-1.0
4334,2,-1.0
3947,0,0.0
3947,1,0.0
3947,2,0.0
271,0,0.0
271,1,1.0
271,2,0.0
3993,0,0.0
3993,1,0.0
3993,2,0.0
874,0,0.0
874,1,0.0
874,2,0.0
821,0,0.0
821,1,0.0
821,2,0.0
1514,0,0.0
1514,1,0.0
1514,2,0.0
1056,0,0.0
1056,1,0.0
1056,2,-1.0
3513,0,0.0
3513,1,0.0
3513,2,-1.0
3831,0,-1.0
3831,1,-1.0
3831,2,-1.0
4663,0,0.0
4663,1,0.0
4663,2,0.0
1493,0,0.0
1493,1,0.0
1493,2,0.0
860,0,0.0
860,1,0.0
860,2,0.0
3372,0,0.0
3372,1,0.0
3372,2,-1.0
3903,0,0.0
3903,1,0.0
3903,2,0.0
1480,0,0.0
1480,1,0.0
1480,2,0.0
3908,0,0.0
3908,1,0.0
3908,2,0.0
3750,0,0.0
3750,1,0.0
3750,2,0.0
4590,0,-1.0
4590,1,-1.0
4590,2,-1.0
197,0,0.0
197,1,0.0
197,2,0.0
4677,0,0.0
4677,1,0.0
4677,2,0.0
3034,0,0.0
3034,1,0.0
3034,2,0.0
4237,0,-1.0
4237,1,-1.0
4237,2,-1.0
4553,0,-1.0
4553,1,-1.0
4553,2,-1.0
1167,0,0.0
1167,1,0.0
1167,2,0.0
1293,0,-1.0
1293,1,-1.0
1293,2,-1.0
597,0,-1.0
597,1,-1.0
597,2,-1.0
1045,0,0.0
1045,1,-1.0
1045,2,-1.0
4116,0,0.0
4116,1,0.0
4116,2,0.0
581,0,-1.0
581,1,-1.0
581,2,-1.0
645,0,-1.0
645,1,-1.0
645,2,-1.0
1621,0,-1.0
1621,1,-1.0
1621,2,-1.0
805,0,0.0
805,1,-1.0
805,2,-1.0
810,0,0.0
810,1,0.0
810,2,0.0
872,0,-1.0
872,1,-1.0
872,2,-1.0
952,0,0.0
952,1,0.0
952,2,-1.0
660,0,0.0
660,1,0.0
660,2,0.0
3119,0,-1.0
3119,1,-1.0
3119,2,-1.0
4185,0,0.0
4185,1,0.0
4185,2,0.0
4456,0,0.0
4456,1,0.0
4456,2,0.0
185,0,0.0
185,1,0.0
185,2,-1.0
1616,0,0.0
1616,1,0.0
1616,2,0.0
1637,0,0.0
1637,1,0.0
1637,2,0.0
1226,0,-1.0
1226,1,-1.0
1226,2,-1.0
300,0,-1.0
300,1,-1.0
300,2,-1.0
4005,0,0.0
4005,1,0.0
4005,2,0.0
1032,0,0.0
1032,1,0.0
1032,2,0.0
94,0,0.0
94,1,0.0
94,2,0.0
135,0,-1.0
135,1,-1.0
135,2,-1.0
1408,0,0.0
1408,1,0.0
1408,2,0.0
3224,0,-1.0
3224,1,-1.0
3224,2,-1.0
1434,0,-1.0
1434,1,-1.0
1434,2,-1.0
877,0,0.0
877,1,0.0
877,2,-1.0
1037,0,0.0
1037,1,0.0
1037,2,0.0
1428,0,0.0
1428,1,-1.0
1428,2,-1.0
3806,0,0.0
3806,1,0.0
3806,2,0.0
3796,0,-1.0
3796,1,-1.0
3796,2,-1.0
3133,0,0.0
3133,1,-1.0
3133,2,-1.0
34,0,0.0
34,1,0.0
34,2,0.0
694,0,0.0
694,1,0.0
694,2,0.0
3913,0,0.0
3913,1,0.0
3913,2,-1.0
71,0,0.0
71,1,0.0
71,2,0.0
4008,0,0.0
4008,1,0.0
4008,2,0.0
3158,0,0.0
3158,1,0.0
3158,2,-1.0
1425,0,-1.0
1425,1,0.0
1425,2,-1.0
