scenario,level,n,mean,sd,ci_lo,ci_hi
consequence_severity,(none),50,-0.54,0.813,-0.765,-0.315
decision_dependent,(none),50,-0.2,0.833,-0.431,0.031
deserved_grade,A,50,0.04,0.856,-0.197,0.277
deserved_grade,B,50,0.28,0.904,0.029,0.531
deserved_grade,C,50,-0.42,1.071,-0.717,-0.123
deserved_grade,D,50,-0.7,1.055,-0.992,-0.408
deserved_grade,F,50,-1.38,1.323,-1.747,-1.013
emotional_investment,high,50,0.02,0.769,-0.193,0.233
emotional_investment,low,50,-0.54,0.788,-0.758,-0.322
emotional_investment,medium,50,-0.28,0.809,-0.504,-0.056
explicit_honesty,(none),50,-0.78,0.764,-0.992,-0.568
feedback_actionability,high,50,-0.02,0.915,-0.273,0.233
feedback_actionability,low,50,-0.16,0.889,-0.406,0.086
feedback_actionability,medium,50,-0.06,0.89,-0.307,0.187
feedback_actionability,not_submitted,50,-0.22,0.887,-0.466,0.026
feedback_actionability,submitted,50,-0.28,0.904,-0.531,-0.029
grade_weight,high,50,-1.0,1.088,-1.302,-0.698
grade_weight,low,50,-0.66,0.798,-0.881,-0.439
grade_weight,medium,50,-0.78,0.737,-0.984,-0.576
grader_flattery,(none),50,0.1,0.789,-0.119,0.319
time_spent,high,50,-0.04,0.856,-0.277,0.197
time_spent,low,50,-0.4,1.01,-0.68,-0.12
time_spent,medium,50,-0.1,0.735,-0.304,0.104
user_vulnerability,(none),50,0.04,0.781,-0.177,0.257
