essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,rater2_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6,word_count,normalized_score,true_grade
6,1,"Dear @LOCATION1, I think that computers have a negative affect on us! How many people have acess to a camputer daily in america.. @NUM1 and how many people go on at least an hour a @NUM2. That means that @NUM3 people cant exercise are wasting many are have the posibility of physical @CAPS1 that sound good to you? Think of everything you done when you write a letter. I got up and got all the materials and sit back down. After In done writing have to put all the materials away and then put the letter in the mailbox and walk all the way back. Well this is what I had to do. Now think how you write an email sitdown and move your fingers. Do you see the difference? @CAPS2 instead of getting a good walk to your friends house to talk to you just in him/er. Did you know that you can literally but from on your computer. Instead of around with this that can add anything you your computer gives away information they information lead to that and then everthing you have wouldbe gone. All this so you can go online. Believe it or not, you can phisically get hurt for being on the computer, to long. @NUM4 thing is that when you at a computer @CAPS2 what happened to my grandpa is that when you are in a wood chair all day you can get ardthritis in your muscle @CAPS3 thing th.",4,4,,8,,,,,,,,,,,,,,,,,,,,,,247,0.6,C
13,1,Dear local newspaper I raed ur argument on the computers and I think they are a positive effect on people. The first reson I think they are a good effect is because you can do so much with them like if you live in mane and ur cuzin lives in califan you and him could have a wed chat. The second thing you could do is look up news any were in the world you could be stuck on a plane and it would be vary boring when you can take but ur computer and go on ur computer at work and start doing work. When you said it takes away from exirsis well some people use the computer for that too to chart how fast they run or how meny miles they want and sometimes what they eat. The thrid reson is some peolpe jobs are on the computers or making computers for exmple when you made this artical you didnt use a type writer you used a computer and printed it out if we didnt have computers it would make ur @CAPS1 a lot harder. Thank you for reading and whe you are thinking adout it agen pleas consiter my thrie resons.,4,3,,7,,,,,,,,,,,,,,,,,,,,,,204,0.5,D
15,1,"Dear, In this world today we should have everyone useing computers. Computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Today computers are like the worlds biggest book of knowledge. everything you need to know is in a computer. You can look up faraway places, and zap theres everything you need to know write in front of you. Computers are fast and easy, everyone can use them. Today kids are so addicted to computers everyday they are on them. There are so many websites that kids and teens go on, like @CAPS1, and facebook ect. on these websites kids as young as ten years old are chatting with friends and putting up pictures. Thers is also webchat websites that allow you to use a webcame and talk to people anywhere in the world. Computers are a great way to get in touch with people. Everyone should have a computer in there home today.",3,3,,6,,,,,,,,,,,,,,,,,,,,,,177,0.4,D
19,1,I aegre waf the evansmant ov tnachnolage. The evansmant ov tnachnolige is being to halp fined a kohar froi alnsas. Tnanchnolage waf ont ot we wod not go to the moon. Tnachnologe evans as we maech at. The people are in tnacholege to the frchr fror the good ov live. Famas invanyor ues tnacholage leki lena orde dvanse and his fling mashine. Tnachologe is the grat,2,2,,4,,,,,,,,,,,,,,,,,,,,,,66,0.2,F
20,1,"Well computers can be a good or a bad thing. I don'@CAPS1 realy see @CAPS2 computers can be a bad thing for me. I also know @CAPS2 computers can or will help people all around the world. I think computers has positive effects on people like me. Computers teaches hand-eye coordination. It can help if you need to find out reasearch for a school project. You can create lots of things on computers like music, desiner @CAPS1-shirts, logos, banners and lots of other creative things. With computer you can look up available homes and apartments. You can even go online and fill out a job application and save trips to stores @CAPS2 cool is that!! Well im a regular person not rich not famous but computers provide lot of information people use today. Thats why I think that computers has a positive effects on people and you don'@CAPS1 have to be super smart to use one.",3,3,,6,,,,,,,,,,,,,,,,,,,,,,160,0.4,D
22,1,Dear local Newspaper @CAPS1 a take all your computer and given to the people around the world for the can stay in their houses chating with their family and friend. Computers help people around the world to connect with other people computer help kids do their homework and look up staff that happen around the world.,2,1,,3,,,,,,,,,,,,,,,,,,,,,,56,0.1,F
27,1,"Computers a good because you can get infermation, you can play games, you can get pictures, But when you on the computer you might find something or someone that is bad or is viris. If ther is a vris you might want shut off the computers so it does not get worse. The are websites for kids, like games, there are teen games, there are adult games. Also pictures are bad for kids because most of the time they lead to inapropreit pictures. You should only look up infermation that you need not things like wepons or knifes. Also there are differnt kinds of companies like @CAPS1&t @CAPS2. @CAPS2 is a good place to get computers @CAPS1 so is @CAPS1&t.",2,2,,4,,,,,,,,,,,,,,,,,,,,,,122,0.2,F
33,1,"Dear, @ORGANIZATION1 I think the effects that computers do on people are really positive. Computers can be used for all sorts of things. Examples like finding things out about history. People that changed the world and other information. Computers give the power for children to learn. For example, their are lots of websites that offer online tutoring or good ways to help you pass school. Other positive way is online dateing sites. You can meet new people and is a good way to make life even better. Popular sites like @CAPS1, @CAPS2, @CAPS3, and so on make a good way to keep in touch with friends from your past, or even make new ones. But the most that I think thats the best in my opinion is going to school online. Once your done with colloge and you are a nuse, for an example you can get a higher degree like a registered nurse then being a @ORGANIZATION2. I think computers has a positive effect on people.",3,3,,6,,,,,,,,,,,,,,,,,,,,,,167,0.4,D
40,1,"Dear local newspaper, my name is @PERSON1 I am @NUM1 and I go to naylor school. I am writing to you convince that computers have a positive effect on people. Please read the following reasons. Computers have a positive effect on people. Your able to communicate with people all over the world. When my brother goes on the computer he get's to talk to my family in @LOCATION1 I like to use skpye because when we talk to family in @CAPS1.R we use a webcam to keep in touch with my family. They teach hand eye coordination and help me in ping-pong. It help me wacth the ball in computer and I do the same in the wreak. You have lot's of access to different information, my mom found a job in the computer. Everybody have access to weather or news, Some say it's a lack of exercise. People get addicted to the computer. Some can get obese and mess with your love life. These are the reasons why I belive computers are good for society. This is why people should agree that advance in technology. Technology keeps on upgrading.",4,3,,7,,,,,,,,,,,,,,,,,,,,,,195,0.5,D
41,1,I think computers are good because you can talk to your friends and family on the computers. People needs computers to look for a job. Some people spend to much time on the computers then on homework people need to stop.,1,1,,2,,,,,,,,,,,,,,,,,,,,,,41,0.0,F
43,1,"The effect of people using computers isn't anything bad couse you learn a lot from it. In some ways when you use the computer and you type, the typing exercises your fingers. Your fingers will get muscle and will teach you to remember where to type without looking down on the keyboard. People sometimes using computer is good because if your writing letters you don't have to use pencil you can just type it and print. The typing does all the work for you so you won't spend hours writing to someone. Computers are helpful to people for example, ir your researching about @CAPS1 or @LOCATION1 you can find almost all the information on the computer in a instant click. Computers save time and does a lot of work. Computers are helpful piece of technology and one of the best.",3,3,,6,,,,,,,,,,,,,,,,,,,,,,143,0.4,D
50,1,"Computers are the greatest tool mankind has. They give people acsess to more information than anything else in the world. they ler us connect faraway places with one click of the button without computers people would never know and learn or do as much as can without computers modern planes or cars would not exist. without computer this very test probaly would not exist so no sconclusion to much time on the computor, because theres more to do than one can doin lifetime",2,3,,5,,,,,,,,,,,,,,,,,,,,,,83,0.3,F
52,1,"Dear @CAPS1 of society I am writing this letter to you to explain the many benefits towards computers. My first reason will explain the many ways computers help you @CAPS2 beleive that people using computers is a very good idea. They beleive this because computers make you really focus and pay attention. This gives you really great eye sight and amazing hand eye cordonation. A important ability that computers have is they are able to teach you about far away places depending on were you live. The reason people would probobility want to visit one of these places on a website would probobility be for vacational purposes. My third reason to why I feel we should keep computers is. There is a lot of websites you can join so that you can speak to your friends as long as there online. IAM, @CAPS3, @CAPS4 exc. These are all great uses for computers. Also people who own a well paying email system on these computer that tells them who wants to sell a piece of machinary, or anything that involves buisness ethics. Now you know my three very important reasons to why computers are a great way to get hand eye cordonation. A great way to learn about other states. And so you can talk to friends and have a email for buisness purposes. I hope you have enjoyed reading this and hope to see you on my side toward this topic.",3,4,,7,,,,,,,,,,,,,,,,,,,,,,241,0.5,D
55,1,"ARE YOU @CAPS1!! Computers are great, they're great because of these @NUM1 reasons. Kids can do homework on computers, also you could video chat with friends and family finally because you could look up just about anything you want on the computer. Computers are great because kids can do there homework on the computer, thats good because if they forgot there book in school or something like that then they could just get the answers of the computer. Its also good for business men because they count on computers for all there files. Computer are also great because you can video chat with friends and family. Video chatins is awesome because if a friend or relative goes out of town they could just brings there labtop of webcam and then you can talk to them whenever. Video chatins is also good for company's if there buyer is in a different country they could just video chat all the information.Finally, computers are great because they are so resourceful. There are hundreds of websites where all you have to do is type in what you want to know and there will be thousands of links for you to search and get your answer. They ere also resourceful for pictures or maybe even powerpoint presentation! In conclusion, computers are great because, kids can get there homework done, also its good for video chat finally because the internet is very resourceful.",4,4,,8,,,,,,,,,,,,,,,,,,,,,,240,0.6,C
58,1,"Dear Newspaper, I'm writing to you about the debate that you are having asking if people should use computers. The article stated ""more and more people use computers, but not everyone agrees that this benefits society."" I think people should not use computers. Also technolgy needs to slow down, it's getting to advanced. My first reason why people need to stop spending time on computers is, you don't want to always say to your on your honeymoon ""we could to @LOCATION1 from our computer. And your life will go by fast and you want notice it, your all fat and old. Also @PERCENT1 of people who use computers are over weight because they don't exercis. Secondly the more technology there is, we are going to have less. In addition it feels better when you work and not just sit on your computer, getting a mounthly cheak. In conclusion you live a happier life when explore the. In @PERCENT2 of people who use computer commit suicide. Also if it was or to me I would the use of computers. Bead all the about computers and you will think but like me. I use to be a computer geek.",4,3,,7,,,,,,,,,,,,,,,,,,,,,,201,0.5,D
60,1,"Dear @CAPS1, I, agree that computers are benefits society. The computers have positive effect on people like hand-eye coordination. I helps you learn about other country religios, and other thing. You can communicate, meet other people, and chat tru computers. Another positive fact about computer is that you can find all the information you need and fast. In other words is that computer help a lot of people.",2,2,,4,,,,,,,,,,,,,,,,,,,,,,69,0.2,F
64,1,Dear news paper I think computers good for you because you can use the internet and myspace and videos and some school work like math and essays so yes I do think that computers are good for you because you can do all kind of things on computers. And computers can help you with school a lot and you can print out lots of things and why computers can help you is with your math writing spelling and most defyntly is science and ant also literature. The reason why I chose those @NUM1 things is because you can look those @NUM1 things up on. Computer and get the answer to math and spelling right like read @NUM3 helps you write and spell thats one at the reasons why I like computers because I can get on read @NUM3 and I love doing read @NUM3 a lot and I like the read @NUM3 class also because the computers sometimes I like reading on the computers but not all the time but I have to read that's how I'll first learn how to read by forsing my self forward to read. That's how I'll first learned how to read by computers and putting forse to my self. That's why computers is more important to me and look words up.,4,3,,7,,,,,,,,,,,,,,,,,,,,,,222,0.5,D
69,1,"Some people think it is a good idea and same do not. My opinion is that, I think that people spend a lot of time for good reasons. Here are three reasons why, @NUM1. grownups working, @NUM2. students learning how to type, and @NUM3. communicating with others. My first reason is that parents do a lot of work on computer. For example, they do taxes, paperwork, airline tickets, and the bank. And those are usually all done on the computer so it would be easier if people don't drive. My second reason is students need to learn how to type so they can email or even write on paper. It helps them build learning ability and also, so they can know how to sing the @ORGANIZATION1's. Computers are suppose to be fun for people of any age. My last reason is, communicating with others is a great skill to have so you can talk in person. Computers help because if you mess up of what your trying to say then you could just erase what your trying to say. And in person, you can't. Also you can make plans with one of your friend on something if they live really far or something like that. In my opinion. I think people should be able to go on the computers to do work, playgames, no sites, and many more other things to go on, only if you have a computer at home.",3,4,,7,,,,,,,,,,,,,,,,,,,,,,244,0.5,D
83,1,"Dear Newspaper Computers have been a great learning source and i think it's time we give them some cridit insted of worrying over them. I will be telling you about how I think computers are great. One reason they are vary helpful is that books dont always have all of the information. So if you need to know a fact or need more information for a project you can go on the computer and it's all right there and you will have known more facts then when you started. The second reason is that you can be almost anywhere and half acess to a computer and you might not have a phone but you can talk or send a message. Not everyone has a phone but computers are a secondary way to have a conversation with someone. Another reason, is its not always sunny outside and when it is a rainy day you have a fun way to play and learn without having to be outside. The computer dosnt replace the outdores or exercising it is just a passtime when you dont have the oppertunity to be outside. I hope you liked and understod my reasons and will take them in to concideration when going over the topic.",3,4,,7,,,,,,,,,,,,,,,,,,,,,,210,0.5,D
84,1,I think computers help people out because you can learn about at here thing like @CAPS1 you want a job you can look it up in the computers. Also @CAPS1 you have a problem they will help you out. @CAPS1 you what to go some where you could go and be on the computer and look how it is and @CAPS1 you like it you could go @CAPS1 not look some where else you what to go. I think it a great thing @CAPS1 you look for people in the computer because you could talk to them and see them it realy cool. You can look for coltures in your computer what you want to learn. Like @CAPS1 you have a favert person you what to know about you can look it up in the computer and she videos or you can look up different sites it really cool. There games you can play online there alot of game and fun game learning games. Math game science game different games you what. Also you can us othere people that are planing the game game as you. It realy cool. I think the computer isn't bad for people computer help them a lot.,3,3,,6,,,,,,,,,,,,,,,,,,,,,,203,0.4,D
89,1,"Computers do benefit are society. They have changed the world alot. You can do many things on the internet. On the computer, you can chat with people everywhere. The computer helps the world. These are ways how computers do benefit our society. There are many things you can do on the internet. You can play games with people. You can talk to people on certain websites. You can look up vaction spots. If your tired of being home, then just go on the internet. These are things you can do on the internet. On the computer, there are many settings. Out of all of them, chatting is the best. You can be playing a game and still chat. If you chatting with someone, you can still chat with another person. You can chat with people from across the world. This is why chatting is the best setting. Computer helps the world in many ways. It helps kids if they need to research something. It helps the cops catch the bad people. The computer helps parents get from their children by vaction ads. This is has the computer helps the world. The computer does benifit our society. It has change the world. You can do many things on it. On the computer, you can chat with people from anywhere. The computer helps the world everyday. This is how the computer benifits our society.",3,3,,6,,,,,,,,,,,,,,,,,,,,,,232,0.4,D
