essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,rater2_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6,word_count,normalized_score,true_grade
2,1,"Dear @CAPS1 @CAPS2, I believe that using computers will benefit us in many ways like talking and becoming friends will others through websites like facebook and mysace. Using computers can help us find coordibates, locations, and able ourselfs to millions of information. Also computers will benefit us by helping with jobs as in planning a house plan and typing a @NUM1 page report for one of our jobs in less than writing it. Now lets go into the wonder world of technology. Using a computer will help us in life by talking or making friends on line. Many people have myspace, facebooks, aim, these all benefit us by having conversations with one another. Many people believe computers are bad but how can you make friends if you can never talk to them? I am very fortunate for having a computer that can help with not only school work but my social life and how I make friends. Computers help us with finding our locations, coordibates and millions of information online. If we didn't go on the internet a lot we wouldn't know how to go onto websites that @MONTH1 help us with locations and coordinates like @LOCATION1. Would you rather use a computer or be in @LOCATION3. When your supposed to be vacationing in @LOCATION2. Million of information is found on the internet. You can as almost every question and a computer will have it. Would you rather easily draw up a house plan on the computers or take @NUM1 hours doing one by hand with ugly erazer marks all over it, you are garrenteed that to find a job with a drawing like that. Also when appling for a job many workers must write very long papers like a @NUM3 word essay on why this job fits you the most, and many people I know don't like writing @NUM3 words non-stopp for hours when it could take them I hav an a computer. That is why computers we needed a lot now adays. I hope this essay has impacted your descion on computers because they are great machines to work with. The other day I showed my mom how to use a computer and she said it was the greatest invention sense sliced bread! Now go out and buy a computer to help you chat online with friends, find locations and millions of information on one click of the button and help your self with getting a job with neat, prepared, printed work that your boss will love.",5,4,,9,,,,,,,,,,,,,,,,,,,,,,423,0.7,B
5,1,"Dear @LOCATION1, I know having computers has a positive effect on people. The computers connect families, contain information which is great for peoples education, and are very conveint. Computors are a step into the future and we should take advantage of it. First off the internet or e-mail will help family members connect. My family, which lives @NUM1 hours away by car, love to talk with me by e-mail. This helps me connect with my family and is just another reason why we should have computors. Another reason that includes family is when the family is just sitting around and are calling everywhere just to find a board game, it would just be easier to go online to find it. This way it would be quick and easy to find that one board game. The last reason why a computer would help a family is if a family wants to get in to any kinds of activities and they need the number they could just go online. On the internet the family could find the numbers, the and some information about it. This way more and more families can do activities together. As one can see the computer is bringing more and more families together. An other reason why the computers are good for society is educations. With information at the tip of your fingers more and more people will want to learn. Now a days people try to find the out, but will all the tools on the computers mae people get the education. Secondly computers are another way to go to collage. If you arn't up to going to school/collage because your sick. You wouldn't have to miss anything because with a click of a button you will have the materials needed for what was missed. Lastly everyone knows that in @LOCATION2 most classrooms can't afford one computer. The children want computors so hard. If they were to get one it would change so much. They would be able to learn so much more than before. The children could lean about different countries far away. As a result computers would improve the way we learn. The last reason why computers are so helpful is convience. Now a say the world is crazy, so if we don't have to go out or talk to someone we won't. The computer will offer the ability to confrence will other people so that there would be communication between work parttners. With the ability to talk with another for work would make us a lighter nation. This is only one of the many reasons computers are very conviente, subssiquently computers are conviente because you could book flights, vacations, rentals, and much more. With a click of a button you should be going to @CAPS1 or a nice vacation.",4,4,,8,,,,,,,,,,,,,,,,,,,,,,473,0.6,C
9,1,"Dear reader, @ORGANIZATION1 has had a dramatic effect on human life. It has changed the way we do almost everything today. The most well know, is the computer. This device has allowed people do buy things online, talk to people online, and also provides entertainment for some people. All good qualities that make everyones lives easier. Imagine you look into your refrigerator and you notice it's almost empty. Someone is using the car and you need to go grocery shopping and the store is too far. What do you do? Well you could go on a computer and look for food online. Ther are many great deals and some companies even deliver for free! The amazing and easy way to buy food without leaving your house. But food isn't all you can purchase. Many products are sold through the computer. Need new toys for kids? Or how about a new hat for your friend? Maybe even more curtains for your room? Well at the easy access of internet on a computer, you can buy all those items and more. The computer has also the way of communication. Let's say someone wants to talk to a friend or relative that lives far away in another country. @CAPS1 someone dosen't own a phone or @CAPS1 they can't make the call, all these is to be in you on the computer. You can communicate with anyone just by using your email adress. Now friends and families can talk to each other over the ease of the computer. Just type to want to say and ""boom,"" instant, on the chat. Let's face it. No matter what a child or even teenager . But now with a computer all that can change. With just one click you could actually be watching a movie from the comfort of your own home. But what @CAPS1 you don't want a movie? No entertainment like listing to musics, watching fun, and probable the most popular playing games. Everyone loves to play a game every once in a while, and with the selection of thousands of online games, these isn't or person who can't fled atleast our game enjoyable. There are even games for educational fun that many kids love. With all the entertainment a computer can produce; who could hate it? All in all the computer is a revolutinizing device that has changes the way we shop, communicate, and find exciting entertainment. To be able to do so much with just a couple clicks; new that I find extravagant. It blows my mind to see and think, ""@CAPS1 we can do this now, I wonder what we can accomplish in the future.",4,5,,9,,,,,,,,,,,,,,,,,,,,,,451,0.7,B
12,1,Dear @CAPS1 @CAPS2 I feel that computers do take away from peoples life and arent as important than the other factors of life. First of all you know that the world is becoming obease because of lack of exercise. Also people don't realize that @CAPS3 warming is becomeing a big problum. Finally familys arn't as close as they used to be. these are all the reasons why computers arn't important to human socioty. First of the world is becomeing obease and cumputers play a huge part in this. Computers don't make people exercise they basicly just sit down on there couch and use the computer this won't help amarica get back into shape. Also computers become a habbit if a person uses a computer everyday of there life it will become an addiction then they won't be able to stop. Finally when people use the computer they don't realize the lack exersise there getting. This is the first reason why computeres are a bad thing. Next @CAPS3 warming is mealting the polar ice caps. Computers play a part in @CAPS3 warming because they use electricty and thjen the electrisity melts the polar ice caps. If this keeps happining then they will all melt and we will not have a shorline and half of the world will be fluded. Finally computers play a huge part in @CAPS3 warming because of the fact that they are so popular. This is another reason why computers are bad. Finally the last reason why computers are bad is because they take away from your family life. For instance there are more and more familys splitting up now and sientest sat that @PERCENT1 of the time it's because of technolagy. When on peroson is on the computer the other people feel that they love the computer more than they love themselfs. Then they split up for good. This is the last reason why I feel computers are bad. In conclution you can see that computeres are a bad thing. First of all you can see that amarica is becomeing obease because of the computers. Also computers are causeing @CAPS3 warming and are eventually goung to flood the earth. And last but not least computers take away from peoples family life and cause them to split up and become unhappy. These are all the reasons why computers are bad.,4,4,,8,,,,,,,,,,,,,,,,,,,,,,401,0.6,C
31,1,"I agree that computers deffinately are an advantage to our society. I think this because they help us communicate and video chat with family and friends online, used as a great tool with school work, or work purposes. Most of all for the enjoyment of children and now the fun computer games help them prepare for real life consequences,like how the game webkinz teaches kids to care for pets. ""@CAPS1 you have a @CAPS2?"" @CAPS3 @CAPS4, my @CAPS5. ""@CAPS6, please friend request me"", I replied. Later that night, I get home and check my @CAPS2, a new notification pops up and I am now friends with my @CAPS5 @CAPS4. My entire family is on @CAPS2 and I think it's so usefull for several reasons, like making plans and parties. I hate writing invitations, but now every year for my birthday party I just type them up, taking less than five minutes. Or, for an even simpler way of sending invatations you can even just type an email or @CAPS2 message. In fact, I just got invited to a party yesterday over @CAPS2. It's so easy, you just create an event and tag all of your friends in the note. Also, it's so easy to get @CAPS13's because you automatically get notified. Technology like this drastically makes life easier. For example, have you ever gotten something new and just can't wait to show your friends? Well, now you can, in the comfort of your own home. All you need is a webcam and you can instantly connect with one of your friends that have one too. ""@CAPS14, @PERSON1! I love what you've done to your room, the pink wallpaper is so cute!"" I said. ""@CAPS15 you! I love your hair today. It's so pretty,"" says @PERSON1. I love webcamming with my friends because you can see and hear them as if they were in the same exact you. As you can see, webcamming is so much easier than spending more time money, and my moms time and getting a ride over her house. Computers make life so much more convienent. Another example how this is so much easier is now computers help you with school work. Have you ever had to write a report? Well, now many times teachers especially enjoy them typed because many students have messy hand writing and most kids won't like writing it anyways. Like myself, I type faster than I write and that's why I agree @PERCENT1 that computers benefit society. Most importantly, computers can help you find a good job online and even help type a great resume for you. How impressive would that be? If I was applying for a professional position of a job, I know I'll type my resume. In conclusion, that's how computers are so helpful, beneficial, important and fun to our society.",4,6,,10,,,,,,,,,,,,,,,,,,,,,,484,0.8,B
32,1,"Dear Local Newspaper, @CAPS1 name is @PERSON1 and I am a @ORGANIZATION1 citizen. I believe that computers do NOT benefit society of all! In @CAPS1 opinion, they make our town worse. People spend way too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. All of these things are @CAPS3 computers are doing to our society and it's time to make a stop to it! First of all, people are on the computer way too much. Teens are on social networking sites, adults are on chatrooms, and kids are playing computer games. Instead of that, people should be playing outside, or going for a walk in the park. Did you know that @PERCENT1 of adults are overweight? If people cut back the amount of time indoors, we could probably bring that number way down. Also, who knows @CAPS3 teens are doing on the computer. Computers have good things but they can also be bad. For example, chatrooms who knows @CAPS3 kind of people are in chatrooms. Children need to be careful about @CAPS3 they say or show on the internet. Instead of playing games or talking to their boyfriends and girlfriends, teens should go outside and exercise. Second, more citizens need to enjoy nature and the beautiful senery around them. Were all so busy running to check our e-mail, we don't notice @CAPS3 a beautiful day it is outside. On a nice @DATE1 or @DATE2 day, people should take this kids to a local park or pond. This reminds me of last @DATE2 when I went to @CAPS1 cousins house. @CAPS1 aunt only allowed us to watch one hour as a day, that included the computer. We were outside every single day, even if we were just staring into the clouds. This kept us active and enjoy the environment. @CAPS1 last reason why computers are badly affecting society is that computers take time away from interacting with family and friends. I know @CAPS3 your thinking, when your on the computer you are talking to family and friends, but it isn't the same. Instead of instant messaging call them. Maybe even invite them our to talk face to face. That reminds me of @CAPS1 sister. When I get home, she will normally be on @CAPS2. Now, instead of getting up and coming to talk to me she will text me ""@CAPS3's up?"" or ""@CAPS4 was your day?"" Computers help people communicate, but they also take communication away. As you can see, I have given you three reasons why I strongly believe computers are badly @ORGANIZATION1. Not only @ORGANIZATION1 but everywhere! You need to open your eyes and understand that people spend way too much time on computers, they allow people to not enjoy nature, or interact with their families. Please I'm asking you to understand that our society will crash it we don't fix this issue. So @CAPS3 are you going to do about it?",5,5,,10,,,,,,,,,,,,,,,,,,,,,,499,0.8,B
35,1,"Dear @CAPS1 @CAPS2, I think computers have a positive effect on people. Where would we be without them? Computers teach hand-eye coordination, give people the ability to learn about any subject they want, and allow people to communicate with each other, no matter how far away. Obviously, computers are beneficial. I think computers have a positive effect on people. They teach hand-eye coordination, as I said earlier. I know people say that where you are on be computer, you spend less time exercising, but the computers help you with you throwing skills. Hand ey coordination also applies for if you want to be a surgeon/doctor. You need to have steady hands. What we ready to do whatever is needed. See, they do have a positive effect. I think computers have a positive effect on people. They give people the ability to learn about anything they want on the internet. Say you want to be an engineer when you grow up, you might want to learn anything and everything you can to be successful later on in that carer. What about a doctor, you would want to know how many years of college and med school are required to get your medical degree. A computer helps you learn about those things. It can also teach you about tons of other things. Again, how could they not be positive. I think computers have a positive effect on people. Another thing they can do out of a hundred others is let you communicate with other people no matter how far away. Mail can so my where with enough, yes, but @CAPS3-mail is free and gets there in less than a minutes where mail can lake weeks to go far. For example, what if you came from another country. You wouldn't want to lose touch with people you grew-up with. With a computer, you could use skype to see now new the person. Talking on the phone or mailing doesn't even compare to that. You could never lose touch! Computers help people do all kinds of things. I conclusion, computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about any subject they want, and allow people to communicate with each other, no matter how far away. There are no bad reason that could top any of these. They make sense. So, what do you think? Do you think they are good for us, or do we need less computers?",4,5,,9,,,,,,,,,,,,,,,,,,,,,,421,0.7,B
39,1,"Dear local Newspaper A lot more people uses computers daily but not everyone agrees that it benefits society. Those people who supports advsnces in technology believe that computers have a positive effect on the people and I agree on some circumstances but looking at the situation cleary I dont agree due to the fact that its better not spending to much time on the computers. First because its way better excercising, @CAPS1 enjoying nature and lastly interacting with family. @CAPS2 why I dont agree that people should be in ther computer more their doing things better in life. First, becacuse it's useful to exercise. Talking a walk around the nieghborhood of just going for a hike with people you know. Even better going to the gym its such a better way to spend your evening instead sitting infront of a computer doing nothing but to look at a screen all day and plus exercising makes you stay in perfect fit, healthy and strong for as long as you live. A computer can just kill you not in reality but sitting all day only on the computer eating when you feel like it and no exercise that is whats going to kill you and make you become so lazy to do nothing. I know nobody would want that for sure. @CAPS1, enjoy nature live life the way it needs to. Gods creations of nature is the must beautiful thing in this world dont let it go all to waist. Jump off a waterfall or go to the park let the wind hit your face. Make imaginations become real and just enjoy what natures about. Third and last, interact with your family and friends. Spend time with them and watch movies or any sports channels. Go with them for some ice cream. Dont let them feel left out or unloved. The mall is a great way to spend time with your friends or family also going to water parks like six flag or lake compound of place like nomads or chuckie cheese its a great way places to spend and interact with your family and friends it also can bring closer as well. This is why I think sitting infront of a computer screen all day, first its a waist of time when you go do some exercise or @CAPS1 enjoy nature or lastly interact with your family and friends, @CAPS2 why sitting infront of a computer as a waist of time and negative why to spend your days of living life. Technology holds you back from the real things in life. Thank you for reading my letter and hope you take it in consideration. Good day!",5,5,,10,,,,,,,,,,,,,,,,,,,,,,446,0.8,B
53,1,"Dear @ORGANIZATION1, To begin, I understand that people don't like computers because they are over used. If the computers are so bad then they shouldn't be used, but how I see it is that they also bring more good than bad. These points to computer wellfare are they bring sourses, their is interaction between people, and computers are going to advance more over time. Even though these people think they are overused they still use them. So, even I use the computer a lot, but it could be used for good. First and foremost, these computers can get sources online that can't be found in books. Their are search engines that you can find your topics on. Then, when you find your source it has info that could have been skipped over. They can show the other side of they story that they didn't say in the book. your projects that you used to have to go to the library for you now can do from home, that itself is a step that you aren't considering. For instance if people are on a lot @PERCENT1 of the time is research. Furthermore, people can interact with friends over the computer. They can talk, send pictures, or play games. For example, i play xbox and I talk to my friends over that a lot of the time. Even a video game is fun as being with them, quoted from @CAPS1 @CAPS2 ""I have a computer not for friends, but for work"". This shows that even large important still use it for work. people say using a computer is like learning to ride a bike. My mom told me a story that she met my dad because he fixed her computer at her job. So, I am here with my parents because of a computer. None the less, the computers are at their begining and they will further improve. So people that are on have a reason for why they are on the computer. This advancement is going to advance again and again so there won't be a way to stop it thus, people will be on it only more and more so there is no chance of stopping the outbreak of computers. Then you will try to stop them with ""computers eat your brain"". We all know that is garbage. To conclude, I implore you not to try and change the habits of others. I @CAPS3 that if people want to use computer they can. I say this with the sources, the friends and the advanement.",4,4,,8,,,,,,,,,,,,,,,,,,,,,,430,0.6,C
54,1,"Dear Local Newspaper, @CAPS1! I am an @NUM1 grade student at @PERSON1. I was reading your paper and I notice you had an article on how people are spending too much time on the computer and not enough time going outside, getting exercise, enjoying nature, and that it doesn't benifit society. i completly disagree with these comments. let me explain... Having computers definatly benifits for all students. Sometimes kids forget their text books at school. But if they have a computer, they can just google the information. That way they get there homework done, and don't have to take a zero. Another thing is, I am sure you have heard of a website called, study island. If you havn't, i'ts a website for all the students in the @LOCATION1 to take online courses for math, reading, and science. They are time consuming, but they count for a huge chunk of our grade. So, if we get an @CAPS2 on study island we get an @CAPS2 in one of our classes.. Not only does the computer help students but it helps me in a kind of personal way. I love the piano. But, there are no instructions in my area. However, there is a program on the computer called synewnisia. It helps you learn all kinds of songs on your keyboard or piano. The piano helps my hand-eye coordination as well as it teaches discipline and dedication. Now, synewnesia isn't the only free instrument learning program. There are many others! This helps people who can't afford lessons, and learning an instrument can help you acheive things later in life. Now, one thing you said in your article is that people aren't getting enough exercise because of sitting in front of a computer all day. This is not completly true. In fact, most people go on the computer researching diet plans or local gyms. How do I know this? Well one day when I went on google the top search of the day was, ""weight watchers diet plan"". Also, my mom uses an online video workout website, for her bad back. So not only does the computer help for diets, they can help physical therapy also. So with this letter I hope you realize that the computer does benifite our society, yes, we should not spend too much time on it. But, online learning sessions can be time consuming. It helps many people figure out the right deit and workouts so they can stay happy and healthy.",5,5,,10,,,,,,,,,,,,,,,,,,,,,,423,0.8,B
