essay_id,stakes_level,stakes_ordinal,variant_idx,grade_num
3291,low,0,0,3
3291,low,0,1,3
3291,low,0,2,3
3291,low,0,3,2
3291,low,0,4,3
3291,low,0,5,2
3291,low,0,6,3
3291,low,0,7,2
3291,low,0,8,3
3291,low,0,9,2
3291,medium,1,0,3
3291,medium,1,1,3
3291,medium,1,2,3
3291,medium,1,3,3
3291,medium,1,4,3
3291,medium,1,5,3
3291,medium,1,6,3
3291,medium,1,7,2
3291,medium,1,8,3
3291,medium,1,9,3
3291,high,2,0,3
3291,high,2,1,3
3291,high,2,2,3
3291,high,2,3,3
3291,high,2,4,3
3291,high,2,5,3
3291,high,2,6,3
3291,high,2,7,3
3291,high,2,8,3
3291,high,2,9,3
271,low,0,0,1
271,low,0,1,1
271,low,0,2,1
271,low,0,3,1
271,low,0,4,1
271,low,0,5,1
271,low,0,6,1
271,low,0,7,1
271,low,0,8,1
271,low,0,9,1
271,medium,1,0,1
271,medium,1,1,1
271,medium,1,2,1
271,medium,1,3,1
271,medium,1,4,1
271,medium,1,5,1
271,medium,1,6,1
271,medium,1,7,1
271,medium,1,8,1
271,medium,1,9,1
271,high,2,0,1
271,high,2,1,1
271,high,2,2,1
271,high,2,3,1
271,high,2,4,1
271,high,2,5,1
271,high,2,6,1
271,high,2,7,2
271,high,2,8,2
271,high,2,9,1
660,low,0,0,1
660,low,0,1,1
660,low,0,2,1
660,low,0,3,1
660,low,0,4,1
660,low,0,5,1
660,low,0,6,1
660,low,0,7,1
660,low,0,8,2
660,low,0,9,1
660,medium,1,0,2
660,medium,1,1,2
660,medium,1,2,1
660,medium,1,3,2
660,medium,1,4,1
660,medium,1,5,2
660,medium,1,6,2
660,medium,1,7,1
660,medium,1,8,2
660,medium,1,9,2
660,high,2,0,1
660,high,2,1,1
660,high,2,2,2
660,high,2,3,2
660,high,2,4,2
660,high,2,5,2
660,high,2,6,1
660,high,2,7,2
660,high,2,8,2
660,high,2,9,1
4663,low,0,0,2
4663,low,0,1,2
4663,low,0,2,1
4663,low,0,3,2
4663,low,0,4,2
4663,low,0,5,1
4663,low,0,6,2
4663,low,0,7,1
4663,low,0,8,2
4663,low,0,9,2
4663,medium,1,0,2
4663,medium,1,1,2
4663,medium,1,2,2
4663,medium,1,3,2
4663,medium,1,4,2
4663,medium,1,5,2
4663,medium,1,6,2
4663,medium,1,7,1
4663,medium,1,8,2
4663,medium,1,9,2
4663,high,2,0,2
4663,high,2,1,2
4663,high,2,2,2
4663,high,2,3,2
4663,high,2,4,2
4663,high,2,5,2
4663,high,2,6,2
4663,high,2,7,2
4663,high,2,8,2
4663,high,2,9,2
4456,low,0,0,1
4456,low,0,1,1
4456,low,0,2,1
4456,low,0,3,1
4456,low,0,4,1
4456,low,0,5,1
4456,low,0,6,1
4456,low,0,7,0
4456,low,0,8,1
4456,low,0,9,1
