question_id,prompt,majority_answer,answer_counts,correct_answer,num_valid_probes,num_failed_probes,entropy,raw_responses,extraction_patterns
1655,"Question: A state has a statute generally prohibiting the installation and use of radar detection devices in any motor vehicle operating on the roadways within the state. This prohibition was enacted to prevent motorists from evading radar or speed checkpoints on county and state highways. A neighboring state has no such regulation in effect. By the same token, Congress has taken no action on the matter. A resident of the neighboring state has installed a radar detection device in his automobile. While driving to visit his mother he is arrested and charged with violating the aforementioned state statute. The resident files a complaint challenging the constitutionality of the state statute. As applied to the resident, the state prohibition against the use of radar detection devices is likely to be held

(A) constitutional, because it can be considered a reasonable restriction on the right to privacy.
(B) unconstitutional, because it unduly burdens interstate commerce.
(C) unconstitutional, because the state statute fails to give credit to the law of a neighboring state.
(D) constitutional, because the commerce clause does not invalidate a state regulation relating to interstate commerce unless Congress takes express action to do so.
(E) constitutional, because states have the power to regulate their own roads and highways.
(F) constitutional, because it protects a legitimate state interest.
(G) unconstitutional, because it infringes on the rights of residents of other states.
(H) unconstitutional, because the state statute is preempted by federal law.
(I) unconstitutional, because it violates the Fourth Amendment's prohibition against unreasonable searches and seizures.

Answer with one letter.",B,{'B': 10},"constitutional, because it protects a legitimate state interest.",10,0,-0.0,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5174,"Question: What are the tallest trees on Earth?

(A) Noble Fir
(B) Coast Redwood
(C) Sitka Spruce
(D) Coast Douglas Fir
(E) Giant Sequoia
(F) Yellow Meranti
(G) Bald Cypress
(H) Mountain Ash
(I) Ponderosa Pine
(J) Western Red Cedar

Answer with one letter.",B,{'B': 10},Coast Redwood,10,0,-0.0,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2723,"Question: According to the Gestalt organizing principles of perception, when you look at, ""i n car n a t e,"" you tend to notice the word car rather than in, nate, at, or ate, because of

(A) symmetry
(B) complexity
(C) novelty
(D) similarity
(E) proximity
(F) continuity
(G) the phi phenomenon
(H) common fate
(I) closure

Answer with one letter.",D,{'D': 10},proximity,10,0,-0.0,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10683,"Question: This question is based on the following declarations: String strA = ""CARROT"", strB = ""Carrot"", strC = ""car""; Given that all uppercase letters precede all lowercase letters when considering alphabetical order, which is true?

(A) strC.compareTo(strB) > 0 && strB.compareTo(strA) > 0
(B) strA.compareTo(strC) > 0 && strC.compareTo(strB) < 0
(C) strB.compareTo(strC) < 0 && strB.compareTo(strA) > 0
(D) !(strB.compareTo(strA) == 0) && strA.compareTo(strB) > 0
(E) strB.compareTo(strC) > 0 && strA.compareTo(strB) < 0
(F) strC.compareTo(strB) < 0 && strB.compareTo(strA) < 0
(G) strA.compareTo(strB) < 0 && strB.compareTo(strC) > 0
(H) !(strA.compareTo(strB) == 0) && strB.compareTo(strA) < 0

Answer with one letter.",H,{'H': 10},strB.compareTo(strC) < 0 && strB.compareTo(strA) > 0,10,0,-0.0,"['H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4544,"Question: Body temperature on the average is 98.6°F. What is thison (a)theCelsius scale and (b) the Kelvin scale?

(A) 37.00°C, 310.15K
(B) 37.50°C, 311.65K
(C) 38.50°C, 311.65K
(D) 36.50°C, 309.65K
(E) 35.00°C, 308.15K
(F) 36.00°C, 300.15K
(G) 38.00°C, 320.15K
(H) 39.00°C, 330.15K
(I) 34.00°C, 307.15K
(J) 40.00°C, 313.15K

Answer with one letter.",A,{'A': 10},"37.00°C, 310.15K",10,0,-0.0,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3165,"Question: During the mammalian cardiac cycle, a volume of blood equivalent to ventricular stroke volume is transferred from the more compliant venous side to the less compliant arterial side of the circulation. In terms of pressures within the venous and arterial compartments, this transfer results in

(A) an equal increase in both venous and arterial pressure
(B) little effect on venous pressure and a large increase in arterial pressure
(C) an increase in venous pressure and an equal but opposite decrease in arterial pressure
(D) a small decrease in venous pressure and a large increase in arterial pressure
(E) a large increase in venous pressure and a small increase in arterial pressure
(F) a decrease in venous pressure and no change in arterial pressure
(G) an increase in both venous and arterial pressure
(H) no change in pressure in either compartment
(I) no effect on venous pressure and a small increase in arterial pressure
(J) a decrease in both venous and arterial pressure

Answer with one letter.",B,{'B': 10},little effect on venous pressure and a large increase in arterial pressure,10,0,-0.0,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1757,"Question: Which of the following factors contributed significantly to the revival of natural law in the 20th century?

(A) The end of the Cold War
(B) The Bolshevik Revolution
(C) The international recognition of human rights after World War II
(D) The invention of the Internet
(E) The rise of Fascism
(F) The rise of Communism in China
(G) Depression of the 1930
(H) The advent of the Industrial Revolution

Answer with one letter.",C,{'C': 10},The international recognition of human rights after World War II,10,0,-0.0,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
11247,"Question: Which of the following explanations best fits the fallacy of ignorance of refutation?

(A) asserting an argumentative opponent has taken an easily defeated position, which the opponent has not really taken, defeating the position, and acting as if you've done significant damage to that person's overall argument.
(B) causing confusion during refutation because of a real or feigned lack of the ability to engage in refutation
(C) characterizing an opposing argument in such a way to make it or its consequences appear to be ridiculous
(D) arguing an action should be taken based only on the need to be loyal to someone or to a group

Answer with one letter.",A,{'A': 10},causing confusion during refutation because of a real or feigned lack of the ability to engage in refutation,10,0,-0.0,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3228,"Question: The frequency ofTay-Sachs disease in the Jewish population of New York City is about 0.015 and approximately 0.0015 in non-Jewish individuals. Homozygotesdie in infancy or early childhood. If the selection coefficient is 1 and the forward mutation rate is 1 × 10^-6, what is the equilibrium frequency of theTay-Sachs gene in the Jewish population under the combined effects of mutation and selection?

(A) 0.02
(B) 0.001
(C) 1 × 10^-6
(D) 0.005
(E) 0.00001
(F) 0.1
(G) 0.985
(H) 0.01
(I) 0.0001
(J) 0.015

Answer with one letter.",H,"{'H': 9, 'D': 1}",0.001,10,0,0.4689955935892812,"['H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'D', 'H']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6711,"Question: Although theoretically any food protein could act as a food allergen, there are eight major food allergens in Europe and North America which account for most of the allergic triggers observed in childhood. Which of the allergens pairings contains an allergen, which is not part of the group of eight major allergens?


(A) Fish, shellfish
(B) Soy, peanuts
(C) Mustard seeds, lamb,

Answer with one letter.",C,{'C': 10},"Mustard seeds, lamb,",10,0,-0.0,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
