essay_id,essay,output_1,output_2,answer_counts_1,answer_counts_2,argmax_match,human_grade,output,answer_counts,entropy
34,"Dear @LOCATION1, @CAPS1 is a rumor going around saying that computers are a negitive affect in a childs life. I disagree. A computer can help a kid in so many ways, it can help students with homework, let students talk to friends, and help with school projects. And besides, most kids don't don't stay on the computer very long anyways. Homeworks, it's a big role in school, if you don't do it or worse don't get it can you down. That's why computers have websites that help a child learn how do do a problem or a social studies question if they don't know. If you go to the school web page then theres a link that brings you in a math games. Theres even a to a science website. This helps a child so they don't get stressed out over homework. A computer also helps a students interact with friends. A social life is very important to a @NUM1 grater. This is where a computer can have aim, facebook, and even myspace help a kid impact with friends. If a kid got into a fight at school can come home and to work it out and not leave it unseatled. A computer also new friends from other towns. Teens need to and make new friesnd will helps as in life. If a teen helps with a then they can ask a for help. Every student gets a take home project at social point in the time of running out to the store to buy paper and pencils. you can stay home, have money and typee the essay. Computers can help with a social studies or a science project. You can print pictures and find information. Drawing can be a hastle and messy, so it saves time and the mess. If @CAPS1 are words you dont understandd then you can look them out. Computers are and best way to do a project. Computers, everyone uses them, they help our parents just as much as uss. They help us with homework, let us talk to friends, and even help us do our projects! Computers are one of the best technology we have @DATE1.",B,B,"{'B': 9, 'C': 1}","{'B': 8, 'C': 2}",True,C,B,"{'A': 0.0, 'B': 0.85, 'C': 0.15, 'D': 0.0, 'F': 0.0}",0.6098
3913,"@CAPS4 I think all books,music,movies,magazines,etc. should be removed from the shelves if they are found offensive. The reason I say this is because what if their are little children that are willing too read grown up books and its all types of naked pictures and words thats not in a child vocabulary. Then they will pic up bad habbits and then use them with knowing what the words actually means.  Then, I think music should be edited because somer music has cursing and talking about things that a young minded child or children shouldn't hear. The music should only be something children are suppose too listen too things that are in their age group.    Next, I believe movies should be censored because now a days we are letting are children watch every and anything they want too. Things that doesnt control their language such as(@CAPS1 @CAPS2). I believe that @CAPS3 sahow needs too be blocked because they really do and say exclusive things on that show, and alot of childern watch and repeat every thing they hear and see of that show. Finally, magazines...I say @CAPS4 too magazines because they have neaked girls and men on the covers and pages of these magazines that shows just way too much and they put things in the magazines too them look real when they are actually not. I think that etc.. should only be used when needed too research and do homework because children use enternet too watch exclusive things and listen too such bad things.    Inconclusion, All together I think it should be an limit too everything we listen too and watch. Because children pick up everything they hear and see",D,D,"{'C': 4, 'D': 6}","{'C': 3, 'D': 7}",True,D,D,"{'A': 0.0, 'B': 0.0, 'C': 0.35, 'D': 0.65, 'F': 0.0}",0.9341
3796,"Libraries are a great resource for information all around the world.  They contain many different styles and genres of books.  Some might not be appropriate for young children to read.  There are people that debate whether or not some books are too offensive to be put up on library shelves.  I believe that no book should be denied of this right.  Most children that go to a library already know what kind of book they want and are with an adult at all times.     Most libraries have children sections.  Offensive books are most likely found in the teenager or adults sections, not the children section.  So, to my defense, there could really be no way that a child would seek out these 'offensive' books anyway.  Children today are exposed to more explicit topics, but I doubt they would want to read a book about them.     Next, if a child goes up to the check out desk the librarian should be able to tell their parent or guardian that certain book is not suitable for that age of child.  Going back to my point of children usually go to libraries with their guardians, they should be supervised at all times while in a library.  If an adult cares that much about what their child reads they can easily decide what is offensive or not.     Finally, authors should not be punished for writing something they believe in or like.  They worked hard on writing and publishing their novels, they should be able to show them off.  If librarians do take off books for being offensive to some adults, a lot of books will be gone from the shelves.  The quote used for this essay explains this thought more thoroughly.  People should be able to read whatever they want, offensive or not.  Children being able to do this? Depends on the parent.      There is no way a child could check out an offensive book, take it home, and read it without their guardian knowing.  Yes, all parents do not care about what their child reads, so this could happen.  Just because some adults complained about books being too offensive for their children doesn't mean a revolt has to happen.  Those parents should just step up and be more strict about what their child can and cannot read.  Some of the most 'offensive' books out there are the very best to read.",B,B,{'B': 10},{'B': 10},True,C,B,"{'A': 0.0, 'B': 1.0, 'C': 0.0, 'D': 0.0, 'F': 0.0}",-0.0
694,"Dear @LOCATION1, I believe that computers benefit society very much. I believe so fo various reasons that I will state through out this passage. Although sometimes people spend too much time on computer it doesn't mean computers are bad for society it just means people need to learn to spend their time wisely. Overall I think computers have a positive effect on society. One reason I am for computers is because they are a huge advancement in technology. They are able to make everyday life easier. They allow you to store information. Learn about many places, and communicate with friends and family. For one device to do all that is amazing! Also if we can make something like computers imagine all the other possibilities of technology advancements. Computers are only the start of it all! Anouther reason why I believe computers greatly benifit society is because they provide entertainment. You can watch movies on your computer, and download fun games. There is hardly anything you can't do on a computer. If it is cold outside or raining you can still entertain yourself with just a computer. Computers are very great to have around. Now anyone who thinks people spend too much time on their computer and that computers are bad for society is just wrong. I think those people are wrong because a computer can't force you to spend more time on it. It's your own fault if you choose to use your computer too much. You always have the choice to go outside and take a walk. Computers are only wrong if you choose to use them wrong, like the expression ""guns don't kill people, people do."" In conclusion I believe computers are a great thing to have espicially in this modern society. Computer are one of the greates advancements in technology and they benifit society as well. So if you are ever wondering weather or not to buy a computer I suggest you get one!",B,B,{'B': 10},{'B': 10},True,C,B,"{'A': 0.0, 'B': 1.0, 'C': 0.0, 'D': 0.0, 'F': 0.0}",-0.0
4008,"First,I do not think the libraries should take all of those thinks because some of those things people need to help them with their work.when some people need music to think and maybe somepepple need magazines.so I do not think the libraries should take the items off the shelves.",D,D,{'D': 10},{'D': 10},True,F,D,"{'A': 0.0, 'B': 0.0, 'C': 0.0, 'D': 1.0, 'F': 0.0}",-0.0
71,"Computers have helped people tramendisly over the past years. Thanks to computers scientist have found cures for desesse, jobs have become easier . I believe that computers have a baseline effect on people. Because they educate people with their jobs, and give people a chance to talk to people having to pay for anything. If someone to a country that they have they might go on the computer to learn more about that country and their culture. Another thing they might do @CAPS1 go to a website that could help them find affordable . If a child @CAPS1 doing a report about a country in @LOCATION1 thay can go on the computer to find out facts on that country. Computers educate people about about places all over the world, you can go on a website that has videos and written sheet clips about what has been goin on around the world and learn about current events. My grandmother would tell me stories about @CAPS3 @CAPS4 before they had computers, now my dad works on @CAPS3 @CAPS4 and he tells me stories about his day. when you compair the two different decades it saids like computers help out a lot within @CAPS3 @CAPS4. Before computers stores would have to do math in their pad when they were giving change back to people, now people save by punching in the numbers in the computer. I think the computers have helped people with their jobs. When you talk on the phone to someone it costs you money. When you just want to see someone I'l costs you money to get on a phone . with computers you can , or onstant message people with any costs. If you want to see a friend for her @CAPS9 but dont have the money to fly halfway around the world to see her you can vidieo chat with her. Computers help people save money by talking on the computers with friends, family and even co-workers. Computers have been very helpful ever since they were invented. They help people learn about places all over the world and about anything you want to learn about. They also make jobs and work easier and also help people save a lot of money by talking to people on the computers insted of on the phone. Computers have improved demastrecly over the years, the screens use to be so small and you would have to press all these buttons just to open it up and now computers can be as big as a flat @CAPS10 and can turn them on with just a push on a button,, Who knows what computers will be like @NUM1 years from now?",C,C,"{'C': 9, 'B': 1}","{'C': 9, 'B': 1}",True,B,C,"{'A': 0.0, 'B': 0.1, 'C': 0.9, 'D': 0.0, 'F': 0.0}",0.469
3158,"I feel that they shouldnt be removed due to the fact that somebody else @MONTH1 like that movie, book, music, or magazine. Just becuase we might not like it doesnt mean theirs somebodyout there that do. Everything shuld be in the library becuase their are different people and not everybody like the same things.      The library suppose to have everything so if we declared to take something off the shelf becuase due to the fact one or a couple more people dont like something or whats being displayed out to people it wouldnt be right. I have been to the library and looking for an movie or a book that i like or want to see and it have not been there i have got mad for that. So ifeel as if it's not right nor fair. Everybody should have their right to what ever it is that they read or like to watch.     Even though there are certain books or movies out their that chidren should not touch, i still feel as if they shouldnt remove anything off th shelves.",D,D,{'D': 10},{'D': 10},True,F,D,"{'A': 0.0, 'B': 0.0, 'C': 0.0, 'D': 1.0, 'F': 0.0}",-0.0
1425,"Dear @CAPS1 post, Computers have been here for a while now and taking them away would be like forgetting all the progress we made in technology. Computers are everywhere in fact, seven out of ten families on my street own atleast one computer in their household. So why would we want to take them away? Computers are too useful. Computers are not only fun, but very resourceful. Anybody with a question faild easily hop on a computer, research it on google.com and find what they were looking for within minutes. I remember when I had a cut on my arm that looked weird, my mom was to heal a wound. She researched it and got how to the mark go away. The computer only benefits you in a way. Is most likely them youll be staying at in two weeks and realize they don't have a pool! Lastey, without computers we would have no communication with new or different people. Computers are great for communicating. People are able to comunicate through twitter, @CAPS2, and even youtube. The sites all help people make new friends online almost like pen pals on the internet. Also, if the majority of your family lived in @LOCATION1 and you were stuck in @CAPS3, you could easily talk to them through email or an instant messanger. Hopefully now you have a better understanding of how much of a lifesaver the computer is. Maybe you could even make next @STATE1 about how resourceful, beneficial and social computers are!",B,B,{'B': 10},"{'B': 8, 'C': 2}",True,C,B,"{'A': 0.0, 'B': 0.9, 'C': 0.1, 'D': 0.0, 'F': 0.0}",0.469
4217,"Censorship is the most foul and terrifying part of society.  Our lives have been taken over by politcal correctness, so much so that our voices are no longer our own.  Until recently we had the freedom to convey our thoughts, no matter what those thoughts were, in any form of media.  But now if something is found to be offensive in any way it is essentially burned.  Censorship limits our freedoms, takes away our @CAPS2 as citizens and people, shields us from the truths of the world, and limits the knowledge we can take from, as well as ensuring that one day there will be nothing left of media.     The @CAPS1 of @CAPS2, the document that our country lives by, says that we as people have the right of free speech.  Censorship actively and violently violates that right.  Our country was built on free speech, and now it is being taken away.  Our own words forced down our throats, never allowed to come out.  Censorship ensures that no opinions will be heard, that no one's beliefs will be questioned, that no one can assume or think for themselves.  Is this not what we are supposedly guaranteed by freedom of speech?  We are supposed to be able to say anything we want to say.  We know there are consequences for saying certain things, but we are supposed to be allowed to say them.  Letting our own ideas into the world allows for new ideas to form.  Arguements come, but these arguements allow people to see other ideas that they hadn't thought of and look at issues from new perspectives.  We are able to see our world through different eyes when we hear or read someone else's opinions.  And from there we can form our own opinions, allowing our world to be rich with iddeas and knowledge, and allowing our society to advance.  But censorship wants to take this all away from us in order to please everyone.  But there will always be someone who is unhappy.  It's the inevitable truth.     Censorship is trying to shield us from the ugliness of this world.  In a way this makes sense.  We don't want our children to understand the atrocities that happen in everyday life.  We don't want them knowing what's happening behind closed doors.  However, if we don't allow people to open these doors, they can never understand the world or be prepared for the experiences that are to come.  Learning the harsh realities of our society educates people, allowing them to stop these realities as well as be prepared for when they happen to them.  For example, let's look at the issue of rape.  Rape is a horrible thing, but it happens.  It is a nasty part of reality.  Rape can be censored from books, televsion, and other forms of media.  We can walk around pretending rape doesn't exist.  But that doesn't accomplish anything.  That doesn't get rid of rape.  It still exists.  And if the people are uneducated on the issue of rape, how will it ever stop?  How will a rape ever be able to be prevented?  How will someone know what to expect or what to do?  By censoring rape from media, we are ensuring that the people in future generations never learn about rape.  Knowledge of rape is important if it is ever going to be stopped.  Pretending something doesn't exist doesn't get rid of it.  Censorship is supposed to protect the people, but it doesn't.  It hurts the people, cutting off their access to knowledge.     We as people need knowledge.  We live off of knowledge.  And the way we obtain this knowledge is through media.  Censorship takes away pieces of knowledge gradually.  It @MONTH1 not seem like a lot is missing now, but as time goes on the gap will increase, and more knowledge will be taken from our grasp.  Is this fair?  Is this right?  Is this helping us?  How does cutting out knowledge ever help?  It brings us backwards in time, makes us fear.  It is human nature to fear the unknown.  The more that becomes unknown, the more we have to fear.  Censorship is taking away crucial pieces of knowledge that we must understand to get along in society.  This is wrong and immoral.  It is unfair, if nothing else.  We should be allowed to take from any knowledge that exists.  No good comes from hiding it.     Lastly, this gradual burning of knowledge is affecting society in horrid ways.  And as time goes on it can only get worse.  Censorship is based off of offensiveness.  If something could be offensive, it is disposed of.  However, everything that exists in society could be offensive to someone.  Therefore everything and everyone should be censored in order to fulfill the goal of censorship.  This means all media of any kind should be destroyed.  No one should say anything.  The world would be forced to be silent.  All knowledge would be taken away.  Chaos would ensue.  The people's freedom would be completely taken away.  The freedom to know would vaporize right in front of their eyes.  This is our future if we allow the censorship to continue.  We cannot allow our lives to be taken over by censorship.  Yes, people's feelings will be hurt, but we cannot rid our world of ideas and knowledge purely to spare feelings.  These ideas and knowledge are too important to let censorship take away.     Censorship is taking away our freedoms and @CAPS2, slowly stealing them away from us.  It also tries to shield us from reality, but instead hurts us, ensuring that we will never understand our world and never be able to stop the very things that are being censored.  Censorship is affecting society, ensuring that our freedoms are to be taken away.  All knowledge will be trashed and no one will be able to voice their opinions.  A very dark future waits for us if censorship continues.  Only by helping people to understand censorship and the wrong it does to society can we gain back our freedom of speech; the freedom we are supposedly guaranteed, but censorship is desperately trying to take away.",B,A,"{'B': 5, 'A': 5}","{'A': 9, 'B': 1}",False,A,A,"{'A': 0.7, 'B': 0.3, 'C': 0.0, 'D': 0.0, 'F': 0.0}",0.8813
4024,no i dont think anything should be removed caz not everyone wants too look at the same thing i think if you dont like it dont look at so there is no need to remover it no matter what,F,F,"{'F': 9, 'D': 1}",{'F': 10},True,F,F,"{'A': 0.0, 'B': 0.0, 'C': 0.0, 'D': 0.05, 'F': 0.95}",0.2864
