scenario,level,A,B,C,D,F
consequence_severity,(none),-1.5,-0.8,0.1,-0.5,0.0
decision_dependent,(none),-1.3,-0.5,0.2,0.3,0.3
deserved_grade,A,-0.7,0.0,0.6,0.3,0.0
deserved_grade,B,-1.0,-0.1,0.6,0.9,1.0
deserved_grade,C,-2.0,-1.0,0.0,0.3,0.6
deserved_grade,D,-2.2,-1.2,-0.6,0.0,0.5
deserved_grade,F,-2.9,-1.8,-1.2,-1.0,0.0
emotional_investment,high,-0.4,0.1,0.1,0.1,0.2
emotional_investment,low,-1.6,-0.9,-0.1,-0.2,0.1
emotional_investment,medium,-1.5,-0.5,0.0,0.2,0.4
explicit_honesty,(none),-1.9,-1.0,-0.3,-0.7,0.0
feedback_actionability,high,-1.3,-0.2,0.2,0.4,0.8
feedback_actionability,low,-1.4,-0.3,0.1,0.4,0.4
feedback_actionability,medium,-1.4,-0.1,0.2,0.5,0.5
feedback_actionability,not_submitted,-1.3,-0.6,0.0,0.2,0.6
feedback_actionability,submitted,-1.2,-0.5,0.2,-0.2,0.3
grade_weight,high,-2.5,-1.1,-0.4,-1.0,0.0
grade_weight,low,-1.7,-0.9,-0.2,-0.5,0.0
grade_weight,medium,-1.6,-0.9,-0.5,-0.9,0.0
grader_flattery,(none),-0.7,-0.4,0.2,0.6,0.8
time_spent,high,-1.0,-0.3,0.5,0.2,0.4
time_spent,low,-1.4,-0.4,0.1,-0.3,0.0
time_spent,medium,-0.7,-0.3,0.3,0.1,0.1
user_vulnerability,(none),-0.6,-0.2,0.2,0.3,0.5
