essay_id,prompt,prob_dist,raw_response,entropy,kl_divergence
3736,"How much hurt can someone take from a book, popular music, a movie, or even a magazine, etc.? Well, as shown by studies, @CAPS1 ctizens @MONTH1 take what these items say more offensivley than what it @MONTH1 seem.  They @MONTH1 seem to go overboard or exaggerate what these updated articles are spreading across @LOCATION1, but is it really true?          Due to all the diffrent races @LOCATION1 sees every single day, sometimes we @MONTH1 @CAPS2 be doing our best to accept their diffrent cultural backrounds in our modern day society.  I have noticed just by going to a pretty much all white school how most people judge other races other than their own, wheather it be making fun of what they wear or how they talk, etc.  Sometimes I wish they could just consider that we are all human beings and no one deserves to be treated that way.  Taking this all into consideration, I think that wheather or @CAPS2 they are racial books, magazines, or movies they should @CAPS2 be removed from there distribution around the world.       I know that wheather or @CAPS2 that these books, movies, magazines, or music are racial they should still be able to be heard by those who want to hear it.  I think that there are some people out there, for example myself, who like to watch movies and read books about slavery, the holocaust, etc.  It's a part of @CAPS1 @CAPS4 and I enjoy learning about it very much.  It @MONTH1 seem racial though to those who went through these hard times and these items which try to explain the pain these people went through @MONTH1 just seem like a joke towards them to make fun of all they went through, eventhough it is @CAPS2 meant that way at all.  I also understand that there are people who write books about mexican jokes, black jokes, etc. or even make comedy movies joking over diffent races.  These types of things I think should be taken OFF the shelves everywhere!  These are the types of things that I feel are what bother many different races and make fun of their cultural backround.       When it comes to music these days, it seems they always sing about love, being hurt physically and mentally, and so on.  I feel like music shouldn't really have an affect on diffrent races, unless it is purposley made for the reason of making fun of people.  I don't see where magazines can be harmful to a certain cultural backround.  The magazines I read about aka seventeen magazine seem to comment about how beautiful these people.     Overall, I think that making fun of diffrent races around the world is never going to get better if we never do anything to help it get better.  Eventhough all these diffrent items such as: movies, magazines, books and music @MONTH1 seem racial I think they should be left on the shelf of every library to let people watch and understand more about the @CAPS4 of our world, but if it is a truly written book, song, movie, or magazine article that is aimed to hurt someone of a diffent race, that should definatley be removed from every shelf around the world","[{'A': 5.0, 'B': 15.0, 'C': 40.0, 'D': 30.0, 'F': 10.0}, {'A': 0.0, 'B': 5.0, 'C': 45.0, 'D': 45.0, 'F': 5.0}, {'A': 0.0, 'B': 5.0, 'C': 35.0, 'D': 50.0, 'F': 10.0}]","['A: 5\nB: 15\nC: 40\nD: 30\nF: 10', 'A: 0\nB: 5\nC: 45\nD: 45\nF: 5', 'A: 0\nB: 5\nC: 35\nD: 50\nF: 10']","[np.float64(-463.51612202118827), np.float64(nan), np.float64(nan)]","[np.float64(0.0), np.float64(nan), np.float64(nan)]"
1704,"Dear local newspaper, I support the advances in technology, and believe that computers have a positive effect on people. I think this for @NUM1 simple reasons, @CAPS1, you gain computer skills, which can help in other situations. Second: Computers give people the chance to learn about faraway people and places.Lastly when you have a computer you can chat and talk to other people. When I think of a computer, I think of typing or a keyboard. After a few times of using a computer you get @CAPS2 and better it. You gain, typing skills, hand eye coordination and mouse skills. After jusst a few uses, your computer skills build up and you soon get good at it. When you do get @CAPS2 though, you get better quicker and more so it all works out very well. When you are on the computer, the internet allows you to search anything and everything. Weather it be a different culture or even schoolwork, a computer is helpful. When I am doing my homework, and I don't know how to another a question, I go on the internet. The computer allows me to get help with any homework I need help in, its great.I can even look up something on a different culture and compare it to ours. The computer allows me to do everything I need. Have you ever felt alone, but theres no one to talk to? Well that problem can be solved very simply, get on a computer. You can chat with people even if there is no one around. You can chat with someone half way around the world. Its amazing you can be anywhere, talking to anyone you want. A computers chat you to reconnect with old friends, and make new ones. Computers are great. When your on a computer, there is so much to do, so much you can get out of it. They are helpful and fun you never run out of options with a computer at your side. In my opinion, there is so much to gain and learn from a computer.","[{'A': 10.0, 'B': 60.0, 'C': 25.0, 'D': 5.0, 'F': 0.0}, {'A': 10.0, 'B': 60.0, 'C': 25.0, 'D': 5.0, 'F': 0.0}, {'A': 10.0, 'B': 60.0, 'C': 25.0, 'D': 5.0, 'F': 0.0}]","['A: 10\nB: 60\nC: 25\nD: 5\nF: 0', 'A: 10\nB: 60\nC: 25\nD: 5\nF: 0', 'A: 10\nB: 60\nC: 25\nD: 5\nF: 0']","[np.float64(nan), np.float64(nan), np.float64(nan)]","[np.float64(nan), np.float64(nan), np.float64(nan)]"
21071," One day, a day before the party for my brother's @DATE1 to be exact. We were setting up party stuff and cleaning the house and the apartment because that's were the boy's will be hanging out and sleeping. My cousin @PERSON4 and I were helping mom and the boy's that were already here and their names would be @PERSON5 , @CAPS1 and @CAPS2. @PERSON6 was already here of course because he's the @DATE1 boy. The boy's were suppose to be cleaning the apartment but their boy's and the only things on theirs minds are girls and video games. They played video games instead of cleaning and mom got mad. Lucky for them mom was in a very good mood or they would have got @CAPS7. The last to boy's showed up now.   The last two boy's showed up and their names are @PERSON2 and @PERSON3 and @PERSON1 is showing up tomorrow after noon. @PERSON6 was so exited that he was turning @NUM1 years old , he said "" I'm @NUM1 years old now no one can tell me what to do"" and I laughed and said ""@PERSON6 go make me a sandwich"" and he said ""@CAPS3"" and I said ""so much for no one can tell me what to do"" and everyone laughed at him. He gave me my sandwich and all the boy's went to the apartment to clean @CAPS7 but when I got in there they set up @PERSON5's x-box @NUM3 and was playing @CAPS7. I told them to get cleaning but they decided not to listen so I got mom and they sure listened to her. She took @CAPS7 and put @CAPS7 on the kitchen table. They were not happy. They finally cleaned the apartment and got the x-bow back. @TIME1 all of us were watching movies and playing broad games then mom told @PERSON4 and I to clean my room , maybe a hour after that she walked by and said "" bed time"" and boy's go to the apartment. The next mourning.  The next mourning @PERSON4 and I woke up to the sun hitting us in the eyes and I said ""what a great way to start off the day"" and @PERSON4 said ""I know"". The best part of today is that we get to hang out with the boy's. When @PERSON4 and I got into the living room everybody was in the kitchen and partly in the living room. @TIME1 that @TIME1 the boy's thought @CAPS7 would be fun if they played cops and rubbers. The apartment was the jail. @PERSON2 , @CAPS2 , @PERSON6 were the cops and @PERSON5 and @CAPS1 were the rubbers. @PERSON4 and I wanted to play so we went outside and ran into @PERSON5 on the otter side of the apartment , he was the only one who knew we were outside. When I was running to hide behind the trees I felling in the hole that turns off the water for the apartment and my leg looked like cottage cheese and @CAPS7 was gushing blood and you could see my bone. I had to stop playing for the @TIME1. Mom told @PERSON4 and I to go to bed.  The next mourning mom woke us up and asked if we want eggs and bacon and we said ""yes"". I crawled out of bed because I needed to go to the bathroom so @PERSON4 helped me up the stairs and when we were coming down the stairs @PERSON5 saw me hurting and being the amazing boyfriend he is he picked me up and carried me to the couch in the living room and sat me down on the couch and kissed the top of my head and said ""good mourning beautiful"" and I said ""good mourning to you to baby"". Now everybody is standing around for their food to be done. The boy's are making pizza if you wanted to know. Then my little sister @CAPS6 walked in to the kitchen and said ""ma'am I want a cookie"" and mom said "" okay , here you go baby"". @CAPS6 ran off with a very big smile on her face. The boy's got their pizza now and they just went back to the apartment. @PERSON4 and I looked at mom and said ""wow"" mom's like i know. We all laughed and started talking about boy's and friends , family , animals. @CAPS7 was a very fun weekend and even though I got hurt we still made the best of @CAPS7. Even though I got hurt and cant do anything for the next two months or so , we still had a blast with each other and @PERSON6 said "" @CAPS7 was his most favorite @DATE1 he's ever had so far . @CAPS6 wanted her friend to come over but she had fun with mom and @PERSON4 , the boy's when they came in the house and I. Sometimes you got to work with what you got and @CAPS7 might turn out more fun than your normal plan you made. Just make sure your happy with the people around you. ","[{'A': 0.0, 'B': 0.0, 'C': 0.0, 'D': 10.0, 'F': 90.0}, {'A': 0.0, 'B': 0.0, 'C': 0.0, 'D': 10.0, 'F': 90.0}, {'A': 0.0, 'B': 0.0, 'C': 5.0, 'D': 45.0, 'F': 50.0}]","['A: 0\nB: 0\nC: 0\nD: 10\nF: 90', 'A: 0\nB: 0\nC: 0\nD: 10\nF: 90', 'A: 0\nB: 0\nC: 5\nD: 45\nF: 50']","[np.float64(nan), np.float64(nan), np.float64(nan)]","[np.float64(nan), np.float64(nan), np.float64(nan)]"
15300,"Throughout the designing and construction stages of the Empire State building's mooring mast, builders and engineers confronted many issues including, the distribution of building stress, fire hazards and the constant shifting caused by winds. During the planning stages of engineers, they confronted an issue, how to alliviate stress on the Empire State Building's frame. According to engineers making the ""thousand foot dirigible moored at at the top of the building held by a single cable tether would add stress to the building's frame..."" @CAPS1, the building would require ""over sixty thousand dollars"" in redesigning and modifying the current building's foundation and framework. Secondly, engineers and builders never considered the fire hazards, which they were confronted with after the completion of the mooring mast. The American dirigibles were filled with hydrogen rather than helium, making that gaseous-filled transportation highly flammable."" An example of this safety violation occurred with the burning of a dirigible in Lakehurst, New Jersey, causing builders to reflect on the possible severity of this possible accident in the heavily populated area of New York. Thirdly, New York had ""violent air currents"" which could cause the rear of the dirigibles to swivel and shift. The only possible solution was to way down the back with lead blocks, but this would be ""neither practical nor safe."" Engineers and builders of the Empire State Building were confronted with many problems and concerns sometimes only addressed by irrational solutions.","[{'A': 5.0, 'B': 40.0, 'C': 50.0, 'D': 5.0, 'F': 0.0}, {'A': 5.0, 'B': 40.0, 'C': 40.0, 'D': 10.0, 'F': 5.0}, {'A': 5.0, 'B': 40.0, 'C': 50.0, 'D': 5.0, 'F': 0.0}]","['A: 5\nB: 40\nC: 50\nD: 5\nF: 0', 'A: 5\nB: 40\nC: 40\nD: 10\nF: 5', 'A: 5\nB: 40\nC: 50\nD: 5\nF: 0']","[np.float64(nan), np.float64(-482.19280948873626), np.float64(nan)]","[np.float64(nan), np.float64(174.82892142331045), np.float64(nan)]"
531,"Dear The @ORGANIZATION1, @CAPS1 opinion on computers @MONTH1 be the same as others or different. I believe that computers help our society. They give us more knowledge on whatever subject we want, it helps us connect to family far away places and they even give us a better understanding of any place we can't see for ourselves. Some people feel that computers distract kids so they're never spending time with family. But what if one of your family members is on the other side of the world? @CAPS1 cousin lives in @LOCATION2 and the only way I can ever talk to him is through a computer. What if your a little kid and your mom or did go on business trips faraway for a very long time? You would use a computer to talk to them wouldn't you? Not everyone in your is always around you and when someone is faraway a computer is the way to connect. Because of computers kids don't exercise. What if your exercise happened to be hiking? In you get exercise and can expose the scenery. With a computer you can explore anywhere without even leaving your doorstep. Say your just a young kid and you're always located to see @LOCATION1 but you can never go there. What would you do? You would hop on a computer and check it out. You can explore any place you want with the click of a button. In school you learn about very historic people who have been dead for thousands of years. How would you learn more about them if they're gone? A computer has information about anyone you chance. You @MONTH1 not be exercising but you're expanding your knowledge aren't you. Yes you could go down to a library and take out a book on the person. However, what if the book doesn't have the information you are looking for? You could end up reading for hours when the certain information you want wasn't even there. A computer gives you anything you need in a matter of seconds. Why waste your time? Now is the time where our technology advances. Why waste your time on something when you've got what you need right at your fingertips? So what are you waiting for? Go learn what you want right now! Haven't seen your cousin in a long time? Start up your computer and get talking. The time is now!","[{'A': 5.0, 'B': 40.0, 'C': 40.0, 'D': 10.0, 'F': 5.0}, {'A': 15.0, 'B': 40.0, 'C': 30.0, 'D': 10.0, 'F': 5.0}, {'A': 5.0, 'B': 40.0, 'C': 40.0, 'D': 10.0, 'F': 5.0}]","['A: 5\nB: 40\nC: 40\nD: 10\nF: 5', 'A: 15\nB: 40\nC: 30\nD: 10\nF: 5', 'A: 5\nB: 40\nC: 40\nD: 10\nF: 5']","[np.float64(-482.19280948873626), np.float64(-463.51612202118827), np.float64(-482.19280948873626)]","[np.float64(0.0), np.float64(11.323312532452029), np.float64(0.0)]"
3370,"'All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf- that work I abhor- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any of us.' - @PERSON1     If one thinks about it books are such a magical escape from everday life. They can take one anywhere they want to go at anytime. Imagine a world where books are a luxury or where they are simply not present at all.I feel as if this would become an all too real reality if we censor books.      Where would the line be drawn saying a book is unfit to be @CAPS5 or placed into circulation. This would hold the world back since we could not express ourselves through our writing. So much would be left unsaid. I believe the quote stated above is quite true. If we place censorship on one book everyone has a right to ban other books as well. Just because certain books, movies, and magazines are deemed offensive to some, does not mean they should be banned for all. No one should we withheld from a book due to age, race, gender, or any other factor.      If one has ever been prohibited from doing something due to age or size the feeling is not pleasant.No one neccessarily said anything mean or hurtful it just feels as if restritions and boundaries were set for no particular reason. I have felt this way multiple times. I remember one time in particular. I went to @LOCATION1 with a group of my cousins and their friends. Since I was the youngest I was also the shortest. I could not ride many of the rides there due to my size. I knew why those heighth requirements were set, for my personal safety. This makes sense, but why should one be required to be a certain age to watch a movie or watch a tv show. Honestly some people are more mature than others and grow up faster. Everyone is different. Everyone has a different personality and different perspective, there is no need to ban a book for everyone when we are all different. One should not be ineligible to @CAPS5 a book or magazine or watch a movie. Not wanting to is totally differnet from not getting to.       The popular book To @CAPS1 A @CAPS2 was banned at one time in the @LOCATION2 simply for using the 'n-word'. This angers many especially when one ponders how much slavery as well as the @CAPS3 @CAPS4 affected and shaped us into who we are today. America is a great nation because of the @ORGANIZATION1.Do we need to have a @ORGANIZATION1 to @CAPS5!Why should we restrict ourselves and limit our own personal freedoms?  If anything is to be banned, I believe it is censorship","[{'A': 40.0, 'B': 35.0, 'C': 20.0, 'D': 5.0, 'F': 0.0}, {'A': 20.0, 'B': 40.0, 'C': 30.0, 'D': 10.0, 'F': 0.0}, {'A': 25.0, 'B': 40.0, 'C': 25.0, 'D': 10.0, 'F': 0.0}]","['A: 40\nB: 35\nC: 20\nD: 5\nF: 0', 'A: 20\nB: 40\nC: 30\nD: 10\nF: 0', 'A: 25\nB: 40\nC: 25\nD: 10\nF: 0']","[np.float64(nan), np.float64(nan), np.float64(nan)]","[np.float64(nan), np.float64(nan), np.float64(nan)]"
109,"Dear editor, @CAPS1 name is @PERSON1, and I believe that computers are a benefit to the world, and people as well. I say this because lots of people can talk to family of friends long distance. Also the computer can teach you lots of thing. Finally it makes you more social. In @CAPS1 strong opinion computers are better for the world. Firstly, many people can talk long distance with family of friends. You have web cam and that allows you to chat and see the person. Also @CAPS2 is another site where you can talk to friends and then you can have a lot and put pictures of yourself and even videos, even though you can talk on the phone and do all this but on the phone it costs money for a plan. When you use a computer it is completely free. Secondly, the computer teaches you things that help you later on in life, and it let's you know things as well. The computer people made programs that can computers and more really cool. The programs teach you how to type, it is called type to learn or type for fun. Also they have programs that let you know how to read. It is great for kids because they need to know these things any ways. Finally, the computer makes you more social. This is because you have @CAPS2 and it let's you know things that happen in school or out of school. You can talk to people on @CAPS2 or email each other and have a conversation with them. You can also meet new people from other places and have a good relationship with them. You have friends with and know who they are and won't need to figure it out. So, this is why I believe that having a computer is a good idea, and good to have. You can talk to people long distance. The computer teaches you things for life. Finally it makes you more social with people. So in @CAPS1 strong opinion it is a good idea to have a computer.","[{'A': 5.0, 'B': 40.0, 'C': 40.0, 'D': 10.0, 'F': 5.0}, {'A': 5.0, 'B': 60.0, 'C': 30.0, 'D': 5.0, 'F': 0.0}, {'A': 10.0, 'B': 60.0, 'C': 25.0, 'D': 5.0, 'F': 0.0}]","['A: 5\nB: 40\nC: 40\nD: 10\nF: 5', 'A: 5\nB: 60\nC: 30\nD: 5\nF: 0', 'A: 10\nB: 60\nC: 25\nD: 5\nF: 0']","[np.float64(-482.19280948873626), np.float64(nan), np.float64(nan)]","[np.float64(0.0), np.float64(nan), np.float64(nan)]"
87,"Computers. One of the much enjoyed pieces of technology. But it is also one of the many distractions. Many people ponder if computers are really beneficial. I am one of those thinkers. I think that computers don't always benefit society. They have many, many distractions such as facebook, online games, and even inappropriate images and videos. If you really think of it, are computers as beneficial as we think? My friend, @PERSON2 was just told about facebook, and got a membership. It just started out as a 'na big deal' kind of thing. She went online often, just to check on her status and if she had any messages in her inbox, and that's @CAPS2. But then, she was full-blown addicted. She applied for @CAPS2 the clubs and groups, and she started getting behind in school. She was obtaining a plethora of @CAPS1's on most of her tests after not studying because she was on for almost six hours everyday. @PERSON2 would come home and not even bother to do homework, but would just immediately go online. After one month of being a member, she was failing @CAPS2 of her classes, and her mom took her computer priveleges away. See, she was distracted by one, little thing, and her whole life was almost destroyed. ""But, mom, i'm in the middle of a game! And I'm winning!"" @PERSON1 says vistoriously. @PERSON1 loves online games, and he wins almost @PERCENT1 of the time. But, that's not the point. He plays games @CAPS2 the TIME. @PERSON1's game playing gets in the way with the interaction of him and his family. He @CAPS3't played eith his four year old sister, @PERSON3 since she was two years old. his mother also often eats dinner alone. Sometimes, he even views inappropriate pictures when his mom is out shopping. When he's playing a game, a girl @CAPS4 him, ""@CAPS5 at my pic. They're hot! and he looks at them. He thinks they're harmless but that's not what his mother thinks. his gaming has gotten in the way of his family and social life. most people think that computers are beneficial because you can find cool information. But, you can get @CAPS2 kinds of information from books. Instead of typing '@ORGANIZATION1', you could just @CAPS5 for it in a library. It takes less time, and you won't get carpal tunnel as easily. See? Computers aren't as beneficial as most think. There are @CAPS2 kinds of distraction, and these are only a few.","[{'A': 5.0, 'B': 30.0, 'C': 45.0, 'D': 15.0, 'F': 5.0}, {'A': 5.0, 'B': 30.0, 'C': 45.0, 'D': 15.0, 'F': 5.0}, {'A': 5.0, 'B': 30.0, 'C': 45.0, 'D': 15.0, 'F': 5.0}]","['A: 5\nB: 30\nC: 45\nD: 15\nF: 5', 'A: 5\nB: 30\nC: 45\nD: 15\nF: 5', 'A: 5\nB: 30\nC: 45\nD: 15\nF: 5']","[np.float64(-476.1627470860923), np.float64(-476.1627470860923), np.float64(-476.1627470860923)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
7187,"There are several features of the setting which affect the cyclist one is the fact that he is traveling on a hot day in June. and the growing realization that I could drop from heatstroke on a gorgeous day in June. The heat was getting to the cyclist and he was scared he might get heatstroke. The terrain was also not very ideal for a cyclist on a hot @DATE1. I noticed the terrain changing. Flat road was replaced by short, rolling hills. The cyclist was tired and the hills were making it worse. The water bottles contained only a few tantalizing sips. The cyclist was running out of water quickly and there was nowhere close to get more. These glitches in the setting affected the cyclist because it was extremely hot, he was running out of water and there was rough terrain. The setting was not in the cyclist's favor.","[{'A': 0.0, 'B': 10.0, 'C': 50.0, 'D': 30.0, 'F': 10.0}, {'A': 0.0, 'B': 0.0, 'C': 20.0, 'D': 70.0, 'F': 10.0}, {'A': 0.0, 'B': 15.0, 'C': 70.0, 'D': 15.0, 'F': 0.0}]","['A: 0\nB: 10\nC: 50\nD: 30\nF: 10', 'A: 0\nB: 0\nC: 20\nD: 70\nF: 10', 'A: 0\nB: 15\nC: 70\nD: 15\nF: 0']","[np.float64(nan), np.float64(nan), np.float64(nan)]","[np.float64(nan), np.float64(nan), np.float64(nan)]"
12537,"In this memoir, the author, Narciso Rodriguez enstills a kind of loving mood and a strong feeling of gratitude. He is thankful for the fact that his parents sacrificed their happiness and family for the well-being of their child's (Narciso's) life, as shown in paragraph @NUM1, where it says: ""My mother and father had come to this country with such courage, without any knowledge of the language or the culture. They came selflessly, as many immigrants do, to give their children a better life, even though it meant leaving behind their families, friends, and careers in the country they loved."" Also, Narciso gives a feeling of admiration for his parents. He admires their courage for leaving all the wonderful stuff in Cuba, as he says in paragraph @NUM2: ""I've often told them [his parents] of my admiration for their strength and perseverance, and I've thanked them repeatedly.""All in all, Narciso really shows a feeling of love in this memoir.","[{'A': 0.0, 'B': 5.0, 'C': 45.0, 'D': 40.0, 'F': 10.0}, {'A': 0.0, 'B': 5.0, 'C': 30.0, 'D': 50.0, 'F': 15.0}, {'A': 0.0, 'B': 0.0, 'C': 10.0, 'D': 80.0, 'F': 10.0}]","['A: 0\nB: 5\nC: 45\nD: 40\nF: 10', 'A: 0\nB: 5\nC: 30\nD: 50\nF: 15', 'A: 0\nB: 0\nC: 10\nD: 80\nF: 10']","[np.float64(nan), np.float64(nan), np.float64(nan)]","[np.float64(nan), np.float64(nan), np.float64(nan)]"
